order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  176	 198	28.1	  -2.2664	 3.2320
 1	  239	 197	28.7	  -2.2897	 3.0992
 2	  457	 217	41.8	  -2.2095	 3.4059
 3	  522	 204	43.2	  -2.1121	 3.2285
 4	  660	 210	46.9	  -2.1254	 3.2798
 5	  725	 213	42.2	  -2.1388	 3.2332
 6	  827	 197	42.9	  -2.1987	 3.6988
 7	  906	 181	41.7	  -2.2736	 3.7348
 8	 1000	 176	40.7	  -2.1529	 3.2968
 9	 1225	 145	40.3	  -2.1265	 3.1464
10	 1476	 188	41.7	  -2.3233	 3.3717
11	 1839	 184	46.9	  -2.2598	 3.3828
12	 2124	 162	45.4	  -2.0726	 3.6132
13	 2312	 134	46.6	  -2.2077	 3.7518
14	 2496	 129	43.1	  -2.1581	 3.4565
15	 2523	 130	42.9	  -2.2498	 3.4593
16	 2948	 125	41.2	  -2.2473	 3.1091
17	 2933	 138	39.3	  -2.3051	 3.3223
18	 3176	 106	45.9	  -2.3100	 3.6373
19	 3696	 127	45.5	  -2.2626	 3.7005
20	 3587	 126	44.5	  -2.4212	 3.5865
21	 4049	 123	41.1	  -2.3744	 3.8219
22	 4077	 121	44.6	  -2.2144	 4.0561
23	 4469	 120	40.9	  -2.2076	 4.1457
24	 4872	 101	45.3	  -2.2506	 4.7782
25	 5305	  90	40.5	  -2.2452	 4.0840
26	 5847	  83	41.5	  -2.3867	 4.5772
27	 6377	  85	34.1	  -2.3544	 3.6940
28	 6724	  60	35.1	  -2.2745	 3.4783
29	 7055	  56	32.1	  -2.3139	 3.3480
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8570	  37	43.2	  -2.3975	 4.0097
32	 8312	  85	39.4	  -2.3256	 3.6651
33	 9447	  51	39.2	  -2.2584	 3.8648
34	 8860	  42	37.8	  -2.3487	 4.3565
35	 7503	  13	43.0	  -2.5098	 4.5807
36	 9601	  26	29.0	  -2.4317	 3.2238
37	 9633	  53	27.6	  -2.3703	 3.7189
38	    0	   0	 0.0	   0.0000	 0.0000
