order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  121	 198	22.2	  -2.1595	 3.1554
 1	  159	 197	26.2	  -2.2806	 2.9401
 2	  294	 217	37.9	  -2.0953	 3.4534
 3	  344	 204	40.1	  -1.9141	 3.2348
 4	  444	 210	44.4	  -2.0507	 3.3118
 5	  502	 213	40.3	  -1.9972	 3.2392
 6	  590	 197	40.8	  -2.0644	 3.6718
 7	  650	 181	40.5	  -2.1620	 3.7260
 8	  737	 176	39.2	  -2.0079	 3.2819
 9	  920	 145	39.1	  -2.0246	 3.1515
10	 1134	 188	40.7	  -2.1972	 3.3991
11	 1427	 184	46.2	  -2.1032	 3.3752
12	 1688	 162	44.6	  -1.9312	 3.6428
13	 1864	 134	46.4	  -2.1056	 3.7444
14	 2046	 129	42.9	  -1.9927	 3.4279
15	 2101	 130	42.4	  -2.1075	 3.4750
16	 2478	 125	40.9	  -2.1082	 3.0817
17	 2524	 138	38.9	  -2.1493	 3.3382
18	 2765	 106	45.5	  -2.1704	 3.6116
19	 3249	 127	45.5	  -2.1202	 3.6938
20	 3193	 126	44.2	  -2.2872	 3.5743
21	 3632	 123	41.1	  -2.2479	 3.8204
22	 3703	 121	44.6	  -2.0806	 4.0530
23	 4080	 120	40.7	  -2.0889	 4.1278
24	 4496	 101	45.3	  -2.1151	 4.7687
25	 4917	  90	40.4	  -2.1129	 4.1023
26	 5472	  83	41.3	  -2.2387	 4.6233
27	 5982	  85	33.9	  -2.2115	 3.6940
28	 6353	  60	35.3	  -2.1453	 3.4156
29	 6690	  56	31.8	  -2.1460	 3.4022
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8249	  37	42.9	  -2.2734	 3.9966
32	 8040	  85	39.4	  -2.1775	 3.6556
33	 9122	  51	39.1	  -2.0966	 3.8423
34	 8629	  42	37.8	  -2.2187	 4.3504
35	 7193	  13	42.9	  -2.3318	 4.5504
36	 9490	  26	28.6	  -2.3562	 3.2463
37	 9482	  53	27.4	  -2.2142	 3.7503
38	    0	   0	 0.0	   0.0000	 0.0000
