order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  130	 198	29.1	  -2.3341	 3.1108
 1	  174	 197	30.2	  -2.4899	 2.8762
 2	  335	 217	41.2	  -2.4134	 3.4206
 3	  381	 204	42.9	  -2.2748	 3.2246
 4	  483	 210	46.7	  -2.3034	 3.3033
 5	  529	 213	41.5	  -2.2451	 3.2417
 6	  610	 197	41.5	  -2.3473	 3.7312
 7	  652	 181	41.2	  -2.4476	 3.7097
 8	  720	 176	39.5	  -2.3277	 3.2898
 9	  876	 145	39.8	  -2.2666	 3.1202
10	 1045	 188	41.8	  -2.4463	 3.3543
11	 1299	 184	46.5	  -2.3755	 3.3637
12	 1503	 162	45.1	  -2.1774	 3.6247
13	 1625	 134	46.3	  -2.3264	 3.7799
14	 1752	 129	42.8	  -2.2945	 3.4539
15	 1770	 130	42.7	  -2.3798	 3.4511
16	 2050	 125	40.9	  -2.3784	 3.1128
17	 2064	 138	38.8	  -2.4024	 3.3402
18	 2214	 106	45.4	  -2.4323	 3.6112
19	 2566	 127	45.3	  -2.3898	 3.6842
20	 2511	 126	44.0	  -2.5618	 3.5836
21	 2817	 123	40.8	  -2.5387	 3.8130
22	 2842	 121	44.3	  -2.3395	 4.0426
23	 3116	 120	40.5	  -2.3377	 4.1447
24	 3392	 101	45.1	  -2.3720	 4.7495
25	 3683	  90	40.1	  -2.3862	 4.0859
26	 4067	  83	41.1	  -2.4984	 4.5865
27	 4421	  85	33.7	  -2.4774	 3.6920
28	 4697	  60	35.1	  -2.3471	 3.4642
29	 4941	  56	31.4	  -2.4050	 3.4092
30	    0	   0	 0.0	   0.0000	 0.0000
31	 5964	  37	43.1	  -2.5326	 3.9783
32	 5809	  85	38.9	  -2.4496	 3.6663
33	 6562	  51	38.8	  -2.3545	 3.8575
34	 6182	  42	37.4	  -2.4921	 4.3969
35	 5145	  13	42.7	  -2.5521	 4.4633
36	 6777	  26	28.6	  -2.5874	 3.2335
37	 6756	  53	27.1	  -2.4558	 3.6148
38	    0	   0	 0.0	   0.0000	 0.0000
