order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   76	 198	18.0	  -2.1380	 3.3213
 1	   99	 197	21.6	  -2.4242	 2.9789
 2	  177	 217	36.7	  -2.2500	 3.3783
 3	  211	 204	38.0	  -2.2813	 3.2757
 4	  270	 210	42.7	  -2.3176	 3.3211
 5	  312	 213	38.9	  -2.3209	 3.1554
 6	  370	 197	39.7	  -2.4261	 3.6511
 7	  414	 181	39.2	  -2.3780	 3.6970
 8	  479	 176	37.5	  -2.2381	 3.3279
 9	  597	 145	38.0	  -2.2984	 3.1373
10	  732	 188	40.7	  -2.4906	 3.3291
11	  929	 184	46.0	  -2.3707	 3.3493
12	 1112	 162	43.8	  -2.2138	 3.6398
13	 1233	 134	46.0	  -2.4070	 3.7304
14	 1369	 129	42.5	  -2.2879	 3.4560
15	 1424	 130	42.2	  -2.3694	 3.4538
16	 1702	 125	40.4	  -2.3712	 3.0847
17	 1746	 138	38.5	  -2.4752	 3.3464
18	 1924	 106	45.4	  -2.4198	 3.6276
19	 2275	 127	45.1	  -2.4133	 3.6745
20	 2258	 126	43.8	  -2.5321	 3.5806
21	 2590	 123	40.7	  -2.5330	 3.7969
22	 2650	 121	44.3	  -2.3419	 4.0232
23	 2939	 120	40.6	  -2.3871	 4.0943
24	 3256	 101	45.1	  -2.3869	 4.7617
25	 3579	  90	40.3	  -2.3911	 4.0646
26	 4031	  83	41.1	  -2.5006	 4.6210
27	 4417	  85	33.6	  -2.4970	 3.6988
28	 4715	  60	35.0	  -2.4177	 3.4455
29	 4995	  56	31.7	  -2.4571	 3.3984
30	    0	   0	 0.0	   0.0000	 0.0000
31	 6207	  37	42.7	  -2.5662	 4.0252
32	 6078	  85	39.3	  -2.4592	 3.6615
33	 6919	  51	39.1	  -2.3791	 3.8362
34	 6599	  42	37.4	  -2.5037	 4.3629
35	 5485	  13	43.2	  -2.5699	 4.4263
36	 7291	  26	28.5	  -2.6560	 3.1900
37	 7304	  53	27.3	  -2.5870	 3.7165
38	    0	   0	 0.0	   0.0000	 0.0000
