order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  154	 198	27.7	  -2.3886	 3.1797
 1	  208	 197	29.2	  -2.2459	 2.9358
 2	  402	 217	41.4	  -2.1984	 3.4250
 3	  463	 204	42.8	  -2.0952	 3.2150
 4	  589	 210	46.3	  -2.0999	 3.3091
 5	  647	 213	42.1	  -2.0603	 3.1870
 6	  745	 197	42.6	  -2.1744	 3.6475
 7	  815	 181	41.6	  -2.2494	 3.7711
 8	  901	 176	40.4	  -2.0895	 3.3034
 9	 1102	 145	40.3	  -2.1112	 3.1198
10	 1327	 188	42.0	  -2.3050	 3.3317
11	 1657	 184	46.8	  -2.2120	 3.3836
12	 1920	 162	45.4	  -2.0619	 3.6023
13	 2089	 134	46.9	  -2.1973	 3.7369
14	 2251	 129	43.4	  -2.1031	 3.4311
15	 2299	 130	42.6	  -2.2325	 3.4527
16	 2665	 125	41.2	  -2.2094	 3.0856
17	 2679	 138	39.4	  -2.2635	 3.3191
18	 2901	 106	46.0	  -2.2797	 3.5928
19	 3368	 127	45.6	  -2.2338	 3.6774
20	 3284	 126	44.6	  -2.3971	 3.5684
21	 3694	 123	41.3	  -2.3535	 3.8361
22	 3748	 121	44.5	  -2.1937	 4.0424
23	 4114	 120	40.7	  -2.2103	 4.1295
24	 4493	 101	45.4	  -2.2211	 4.7403
25	 4884	  90	40.5	  -2.2368	 4.0971
26	 5404	  83	41.5	  -2.3725	 4.5884
27	 5900	  85	34.1	  -2.3234	 3.6779
28	 6210	  60	35.4	  -2.2317	 3.4447
29	 6520	  56	31.9	  -2.2830	 3.3479
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7960	  37	43.3	  -2.4109	 3.9790
32	 7712	  85	39.5	  -2.2855	 3.6506
33	 8725	  51	39.3	  -2.1977	 3.8417
34	 8226	  42	37.6	  -2.3264	 4.3483
35	 6891	  13	43.1	  -2.4152	 4.4853
36	 8946	  26	28.7	  -2.4504	 3.2594
37	 8919	  53	27.5	  -2.4021	 3.7312
38	    0	   0	 0.0	   0.0000	 0.0000
