order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  169	 198	28.4	  -2.0439	 3.4022
 1	  228	 197	29.2	  -2.0587	 3.0440
 2	  429	 217	41.9	  -1.9843	 3.4007
 3	  490	 204	42.2	  -1.9333	 3.2836
 4	  613	 210	46.4	  -1.9590	 3.3124
 5	  667	 213	41.5	  -1.9688	 3.2392
 6	  755	 197	42.6	  -2.0219	 3.6523
 7	  821	 181	40.7	  -2.0495	 3.7757
 8	  898	 176	39.2	  -1.9594	 3.3411
 9	 1078	 145	40.1	  -1.9870	 3.1194
10	 1291	 188	41.4	  -2.0783	 3.4053
11	 1595	 184	46.5	  -2.0597	 3.3832
12	 1837	 162	45.5	  -1.8722	 3.6297
13	 1983	 134	46.9	  -1.9961	 3.7629
14	 2128	 129	43.1	  -1.9287	 3.4317
15	 2134	 130	42.6	  -2.0598	 3.4345
16	 2468	 125	41.0	  -2.0163	 3.0897
17	 2472	 138	39.0	  -2.0841	 3.3349
18	 2658	 106	45.8	  -2.0764	 3.6147
19	 3063	 127	45.1	  -2.0570	 3.6997
20	 2985	 126	44.2	  -2.2006	 3.5903
21	 3337	 123	40.8	  -2.1563	 3.8412
22	 3368	 121	44.3	  -2.0164	 4.0781
23	 3664	 120	40.4	  -2.0186	 4.1618
24	 4001	 101	44.8	  -2.0513	 4.8326
25	 4326	  90	40.2	  -2.0385	 4.1167
26	 4777	  83	41.3	  -2.1888	 4.6073
27	 5200	  85	33.7	  -2.1216	 3.7157
28	 5454	  60	34.9	  -2.0152	 3.4506
29	 5757	  56	31.4	  -2.1347	 3.4177
30	    0	   0	 0.0	   0.0000	 0.0000
31	 6902	  37	42.7	  -2.1955	 4.0165
32	 6702	  85	39.1	  -2.1283	 3.6616
33	 7599	  51	38.7	  -2.0445	 3.8800
34	 7113	  42	37.7	  -2.1441	 4.3739
35	 6004	  13	42.9	  -2.1480	 4.5334
36	 7743	  26	28.3	  -2.2087	 3.2257
37	 7731	  53	27.3	  -2.1695	 3.7492
38	    0	   0	 0.0	   0.0000	 0.0000
