order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  293	 198	27.9	  -2.4269	 3.2376
 1	  391	 197	29.8	  -2.3454	 2.9472
 2	  730	 217	41.8	  -2.3103	 3.3918
 3	  820	 204	42.8	  -2.2051	 3.2235
 4	 1017	 210	46.4	  -2.2216	 3.3005
 5	 1092	 213	42.0	  -2.1777	 3.2188
 6	 1223	 197	42.4	  -2.2410	 3.7092
 7	 1315	 181	41.4	  -2.3098	 3.7014
 8	 1427	 176	40.0	  -2.2031	 3.2806
 9	 1714	 145	39.8	  -2.2096	 3.1037
10	 2031	 188	41.3	  -2.3628	 3.3410
11	 2499	 184	46.2	  -2.3044	 3.3754
12	 2842	 162	44.9	  -2.1379	 3.5868
13	 3054	 134	46.0	  -2.2446	 3.7439
14	 3258	 129	43.0	  -2.1998	 3.4178
15	 3255	 130	42.4	  -2.2859	 3.4611
16	 3724	 125	41.2	  -2.2665	 3.0809
17	 3710	 138	39.2	  -2.3370	 3.3361
18	 3980	 106	45.5	  -2.3560	 3.6259
19	 4577	 127	45.4	  -2.2927	 3.6815
20	 4451	 126	44.2	  -2.4652	 3.5824
21	 4953	 123	41.2	  -2.4341	 3.8258
22	 4992	 121	44.5	  -2.2400	 4.0499
23	 5436	 120	40.5	  -2.2535	 4.1243
24	 5923	 101	45.1	  -2.2972	 4.7623
25	 6403	  90	40.4	  -2.2907	 4.0844
26	 7055	  83	41.3	  -2.4114	 4.5972
27	 7692	  85	33.7	  -2.3717	 3.7270
28	 8086	  60	35.2	  -2.3265	 3.4458
29	 8528	  56	31.7	  -2.3595	 3.3909
30	    0	   0	 0.0	   0.0000	 0.0000
31	10262	  37	43.2	  -2.4550	 3.9795
32	 9983	  85	39.2	  -2.3579	 3.6755
33	11305	  51	39.1	  -2.2936	 3.8337
34	10590	  42	37.7	  -2.4156	 4.3507
35	 8834	  13	43.4	  -2.4197	 4.4901
36	11534	  26	28.8	  -2.4842	 3.2091
37	11531	  53	26.8	  -2.3457	 3.6700
38	    0	   0	 0.0	   0.0000	 0.0000
