order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   87	 198	19.7	  -2.3442	 2.7588
 1	  115	 197	21.4	  -2.1743	 3.2421
 2	  213	 217	37.9	  -2.0617	 3.4206
 3	  255	 204	39.1	  -1.9547	 3.3491
 4	  335	 210	43.8	  -1.9466	 3.4283
 5	  382	 213	40.7	  -1.9953	 3.2684
 6	  455	 197	40.5	  -2.0356	 3.7094
 7	  509	 181	39.9	  -2.1384	 3.7757
 8	  585	 176	38.8	  -2.0371	 3.3067
 9	  733	 145	39.4	  -1.9851	 3.1059
10	  906	 188	40.9	  -2.1126	 3.3965
11	 1156	 184	46.0	  -2.0529	 3.3801
12	 1379	 162	44.8	  -1.8727	 3.6301
13	 1527	 134	46.6	  -2.0096	 3.7406
14	 1689	 129	43.0	  -1.9644	 3.4561
15	 1751	 130	42.7	  -2.0547	 3.4629
16	 2076	 125	41.2	  -2.0596	 3.1043
17	 2137	 138	38.9	  -2.0891	 3.3220
18	 2335	 106	45.8	  -2.0959	 3.5935
19	 2749	 127	45.6	  -2.0500	 3.6977
20	 2728	 126	44.1	  -2.2290	 3.5853
21	 3111	 123	41.0	  -2.2087	 3.8341
22	 3187	 121	44.6	  -2.0395	 4.0519
23	 3531	 120	40.7	  -2.0314	 4.1276
24	 3898	 101	45.3	  -2.0518	 4.7352
25	 4278	  90	40.5	  -2.0924	 4.0632
26	 4782	  83	41.4	  -2.2028	 4.6203
27	 5246	  85	33.9	  -2.1452	 3.6818
28	 5559	  60	35.2	  -2.0650	 3.4787
29	 5952	  56	31.6	  -2.1340	 3.4039
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7266	  37	43.0	  -2.2237	 4.0196
32	 7084	  85	39.1	  -2.1261	 3.6583
33	 8034	  51	39.2	  -2.0671	 3.8432
34	 7626	  42	37.5	  -2.1781	 4.3871
35	 6368	  13	43.4	  -2.2163	 4.4652
36	 8362	  26	28.8	  -2.2764	 3.2102
37	 8382	  53	27.8	  -2.1861	 3.5964
38	    0	   0	 0.0	   0.0000	 0.0000
