order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  107	 198	21.2	  -1.9295	 3.3057
 1	  146	 197	25.1	  -2.1107	 2.9832
 2	  265	 217	38.9	  -2.2207	 3.4373
 3	  316	 204	40.6	  -1.9677	 3.2470
 4	  409	 210	44.0	  -2.0860	 3.3351
 5	  464	 213	40.0	  -2.0382	 3.2192
 6	  542	 197	41.2	  -2.2485	 3.6505
 7	  606	 181	40.4	  -2.2136	 3.7635
 8	  688	 176	38.7	  -2.0883	 3.3343
 9	  858	 145	38.7	  -2.1045	 3.1669
10	 1054	 188	41.6	  -2.2714	 3.3060
11	 1332	 184	46.1	  -2.2406	 3.3706
12	 1586	 162	44.5	  -2.0448	 3.6236
13	 1750	 134	46.1	  -2.1981	 3.7473
14	 1926	 129	43.0	  -2.0964	 3.4591
15	 1982	 130	42.5	  -2.2019	 3.4656
16	 2345	 125	41.0	  -2.1815	 3.0794
17	 2393	 138	39.1	  -2.2522	 3.3037
18	 2615	 106	45.8	  -2.2586	 3.6414
19	 3078	 127	45.5	  -2.2228	 3.6996
20	 3045	 126	44.3	  -2.3625	 3.5632
21	 3453	 123	41.1	  -2.3405	 3.8318
22	 3545	 121	44.4	  -2.1777	 4.0338
23	 3918	 120	40.5	  -2.1863	 4.1271
24	 4325	 101	45.3	  -2.2032	 4.7516
25	 4738	  90	40.5	  -2.2147	 4.0761
26	 5280	  83	41.5	  -2.3306	 4.5948
27	 5807	  85	33.9	  -2.2998	 3.6766
28	 6160	  60	35.0	  -2.2376	 3.4711
29	 6504	  56	32.0	  -2.2589	 3.4004
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7986	  37	42.9	  -2.3820	 3.9979
32	 7814	  85	39.5	  -2.2865	 3.6563
33	 8838	  51	39.3	  -2.1885	 3.8352
34	 8374	  42	37.7	  -2.2993	 4.3333
35	 6977	  13	43.3	  -2.4030	 4.4934
36	 9164	  26	28.7	  -2.4247	 3.2221
37	 9195	  53	27.5	  -2.4161	 3.7365
38	    0	   0	 0.0	   0.0000	 0.0000
