order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  238	 198	27.4	  -2.2379	 3.4311
 1	  325	 197	29.3	  -2.0704	 2.9493
 2	  615	 217	41.9	  -1.9836	 3.4156
 3	  710	 204	42.5	  -1.9042	 3.2347
 4	  897	 210	46.0	  -1.9662	 3.2840
 5	  983	 213	42.1	  -1.9168	 3.1852
 6	 1121	 197	42.9	  -2.0067	 3.6694
 7	 1221	 181	41.3	  -2.1090	 3.7969
 8	 1350	 176	40.1	  -1.9551	 3.3253
 9	 1646	 145	40.1	  -1.9351	 3.1238
10	 1984	 188	42.0	  -2.1002	 3.3593
11	 2452	 184	47.0	  -2.0488	 3.3652
12	 2839	 162	45.2	  -1.8826	 3.6370
13	 3069	 134	47.2	  -2.0342	 3.7185
14	 3307	 129	43.4	  -1.9364	 3.4493
15	 3341	 130	43.2	  -2.0462	 3.4572
16	 3861	 125	41.4	  -2.0393	 3.0972
17	 3883	 138	39.6	  -2.1084	 3.3342
18	 4181	 106	46.1	  -2.0957	 3.6126
19	 4851	 127	45.7	  -2.0737	 3.7054
20	 4727	 126	44.4	  -2.2114	 3.6068
21	 5281	 123	41.6	  -2.1899	 3.8015
22	 5335	 121	44.7	  -2.0400	 4.0671
23	 5839	 120	40.9	  -2.0083	 4.1249
24	 6355	 101	45.6	  -2.0610	 4.7782
25	 6907	  90	40.7	  -2.0452	 4.0841
26	 7616	  83	41.7	  -2.1869	 4.6055
27	 8310	  85	34.1	  -2.1356	 3.6798
28	 8739	  60	35.5	  -2.0454	 3.4457
29	 9134	  56	32.0	  -2.1080	 3.3872
30	    0	   0	 0.0	   0.0000	 0.0000
31	11116	  37	43.1	  -2.2349	 4.0231
32	10767	  85	39.5	  -2.1155	 3.6719
33	12151	  51	39.1	  -2.0226	 3.8563
34	11379	  42	37.7	  -2.1718	 4.3618
35	 9459	  13	43.9	  -2.1874	 4.4266
36	12348	  26	28.9	  -2.2508	 3.2342
37	12293	  53	27.8	  -2.2562	 3.7238
38	    0	   0	 0.0	   0.0000	 0.0000
