order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  180	 198	28.1	  -2.4046	 3.2544
 1	  242	 197	30.4	  -2.3109	 2.9948
 2	  464	 217	42.0	  -2.2903	 3.4099
 3	  530	 204	43.2	  -2.1997	 3.2071
 4	  669	 210	46.1	  -2.2831	 3.3199
 5	  727	 213	42.3	  -2.2245	 3.1979
 6	  822	 197	43.0	  -2.3276	 3.6854
 7	  889	 181	41.8	  -2.3672	 3.7144
 8	  976	 176	40.4	  -2.2530	 3.2876
 9	 1195	 145	40.0	  -2.2514	 3.1178
10	 1428	 188	41.7	  -2.4121	 3.3899
11	 1770	 184	46.6	  -2.3658	 3.4138
12	 2036	 162	45.3	  -2.1732	 3.6296
13	 2195	 134	46.7	  -2.3144	 3.7578
14	 2360	 129	42.9	  -2.2412	 3.4543
15	 2375	 130	42.7	  -2.3534	 3.4580
16	 2755	 125	41.1	  -2.3189	 3.0808
17	 2750	 138	38.9	  -2.3751	 3.3342
18	 2950	 106	45.9	  -2.4030	 3.6116
19	 3419	 127	45.5	  -2.3372	 3.6865
20	 3322	 126	44.4	  -2.5059	 3.5874
21	 3734	 123	41.1	  -2.4892	 3.8263
22	 3754	 121	44.3	  -2.3228	 4.0608
23	 4096	 120	40.8	  -2.3265	 4.1230
24	 4447	 101	45.3	  -2.3281	 4.7654
25	 4820	  90	40.2	  -2.3344	 4.1099
26	 5310	  83	41.4	  -2.4771	 4.6247
27	 5775	  85	33.7	  -2.4393	 3.6968
28	 6054	  60	35.1	  -2.3541	 3.4957
29	 6381	  56	31.6	  -2.4036	 3.3993
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7659	  37	43.2	  -2.5047	 3.9830
32	 7444	  85	39.1	  -2.4033	 3.6584
33	 8405	  51	39.0	  -2.3188	 3.8723
34	 7866	  42	37.7	  -2.4395	 4.3486
35	 6548	  13	43.2	  -2.4353	 4.4834
36	 8577	  26	28.8	  -2.5388	 3.2200
37	 8513	  53	27.2	  -2.4363	 3.6849
38	    0	   0	 0.0	   0.0000	 0.0000
