order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  223	 198	29.1	  -2.0758	 3.2823
 1	  307	 197	31.2	  -2.1229	 2.9988
 2	  602	 217	42.4	  -2.0329	 3.4233
 3	  690	 204	43.9	  -1.9102	 3.2146
 4	  885	 210	47.0	  -1.9576	 3.3130
 5	  973	 213	42.7	  -1.9350	 3.2175
 6	 1108	 197	43.6	  -2.0285	 3.6978
 7	 1215	 181	42.4	  -2.1151	 3.7283
 8	 1355	 176	41.1	  -1.9488	 3.2815
 9	 1659	 145	40.7	  -1.9670	 3.1169
10	 2009	 188	42.3	  -2.1388	 3.3799
11	 2517	 184	47.2	  -2.0576	 3.3654
12	 2914	 162	45.9	  -1.8911	 3.6094
13	 3169	 134	47.2	  -2.0270	 3.7582
14	 3417	 129	43.5	  -1.9785	 3.4452
15	 3457	 130	43.2	  -2.0485	 3.4823
16	 4004	 125	41.6	  -2.0379	 3.1047
17	 4037	 138	39.7	  -2.1207	 3.3426
18	 4361	 106	46.3	  -2.1054	 3.6204
19	 5073	 127	45.9	  -2.0858	 3.7034
20	 4942	 126	44.8	  -2.2339	 3.5844
21	 5544	 123	41.7	  -2.2126	 3.8212
22	 5624	 121	45.0	  -2.0452	 4.0636
23	 6132	 120	41.1	  -2.0388	 4.1324
24	 6694	 101	45.8	  -2.0606	 4.7818
25	 7272	  90	40.7	  -2.0797	 4.0828
26	 8040	  83	41.8	  -2.2025	 4.6039
27	 8757	  85	34.2	  -2.1604	 3.6955
28	 9208	  60	35.8	  -2.0755	 3.4537
29	 9665	  56	32.2	  -2.1272	 3.4031
30	    0	   0	 0.0	   0.0000	 0.0000
31	11704	  37	43.5	  -2.2291	 3.9940
32	11338	  85	39.6	  -2.1448	 3.6662
33	12834	  51	39.4	  -2.0614	 3.8570
34	12070	  42	38.0	  -2.1832	 4.3858
35	10162	  13	43.1	  -2.2922	 4.4717
36	13037	  26	28.9	  -2.2707	 3.2287
37	13011	  53	27.4	  -2.2872	 3.7725
38	    0	   0	 0.0	   0.0000	 0.0000
