order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   91	 198	 7.2	  -2.7837	 4.4024
 1	  110	 197	13.3	  -2.6128	 2.9925
 2	  171	 217	26.6	  -2.1718	 3.4353
 3	  203	 204	27.8	  -2.1229	 3.3251
 4	  261	 210	34.0	  -2.2540	 3.3693
 5	  308	 213	30.3	  -2.1851	 3.3626
 6	  377	 197	33.0	  -2.3081	 3.6402
 7	  425	 181	33.8	  -2.3044	 3.8343
 8	  500	 176	33.0	  -2.1171	 3.4602
 9	  634	 145	35.1	  -2.1116	 3.1633
10	  795	 188	38.1	  -2.3796	 3.3573
11	 1026	 184	43.4	  -2.3153	 3.3891
12	 1261	 162	42.3	  -2.1521	 3.6833
13	 1434	 134	44.7	  -2.3240	 3.7291
14	 1636	 129	41.5	  -2.1708	 3.4642
15	 1741	 130	41.2	  -2.2851	 3.4908
16	 2121	 125	39.5	  -2.3029	 3.1143
17	 2225	 138	38.2	  -2.3487	 3.3460
18	 2484	 106	44.5	  -2.3718	 3.6362
19	 2987	 127	44.7	  -2.3349	 3.6950
20	 2989	 126	43.7	  -2.4580	 3.5683
21	 3486	 123	40.6	  -2.4725	 3.8435
22	 3616	 121	44.0	  -2.2625	 4.0631
23	 4048	 120	40.3	  -2.2761	 4.1334
24	 4513	 101	45.1	  -2.3077	 4.7790
25	 5001	  90	40.0	  -2.3371	 4.1288
26	 5644	  83	41.3	  -2.4721	 4.5952
27	 6242	  85	33.6	  -2.4198	 3.7308
28	 6656	  60	35.3	  -2.3429	 3.4500
29	 7085	  56	31.7	  -2.3958	 3.4231
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8798	  37	42.9	  -2.5144	 4.0152
32	 8656	  85	39.3	  -2.3938	 3.6723
33	 9841	  51	39.2	  -2.3225	 3.8476
34	 9353	  42	37.7	  -2.4177	 4.3396
35	 7855	  13	43.1	  -2.5601	 4.4686
36	10286	  26	28.7	  -2.5786	 3.2322
37	10340	  53	27.4	  -2.5548	 3.7254
38	    0	   0	 0.0	   0.0000	 0.0000
