order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   99	 198	11.0	  -1.8385	 3.5998
 1	  125	 197	16.5	  -1.9716	 2.8445
 2	  203	 217	30.9	  -1.9071	 3.4543
 3	  248	 204	33.1	  -1.8695	 3.3424
 4	  319	 210	38.1	  -1.9287	 3.3757
 5	  375	 213	34.1	  -2.0018	 3.3006
 6	  456	 197	35.9	  -2.1578	 3.6441
 7	  518	 181	36.1	  -2.1435	 3.7308
 8	  603	 176	35.7	  -1.8928	 3.2764
 9	  759	 145	37.3	  -2.0079	 3.1365
10	  950	 188	39.7	  -2.1413	 3.3386
11	 1220	 184	44.5	  -2.0872	 3.3790
12	 1486	 162	43.8	  -1.9186	 3.6153
13	 1669	 134	45.6	  -2.0651	 3.7337
14	 1890	 129	42.2	  -1.9828	 3.4416
15	 1980	 130	41.8	  -2.0843	 3.4702
16	 2371	 125	40.2	  -2.0479	 3.0955
17	 2470	 138	38.7	  -2.1444	 3.3147
18	 2730	 106	45.5	  -2.1266	 3.6114
19	 3268	 127	45.0	  -2.1194	 3.6758
20	 3245	 126	43.9	  -2.2607	 3.5863
21	 3727	 123	41.0	  -2.2336	 3.8120
22	 3845	 121	44.5	  -2.0437	 4.0268
23	 4273	 120	40.6	  -2.0741	 4.0950
24	 4731	 101	45.3	  -2.0969	 4.7449
25	 5230	  90	40.2	  -2.1028	 4.1093
26	 5859	  83	41.4	  -2.2438	 4.5728
27	 6431	  85	33.8	  -2.2041	 3.6874
28	 6813	  60	35.4	  -2.1094	 3.4472
29	 7249	  56	31.9	  -2.1751	 3.3855
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8904	  37	43.1	  -2.2692	 3.9947
32	 8745	  85	39.3	  -2.1560	 3.6601
33	 9895	  51	39.2	  -2.0817	 3.8567
34	 9346	  42	37.9	  -2.2054	 4.3329
35	 7725	  13	44.1	  -2.2772	 4.4387
36	10271	  26	29.0	  -2.3209	 3.2240
37	10240	  53	27.5	  -2.2762	 3.7324
38	    0	   0	 0.0	   0.0000	 0.0000
