order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  167	 198	30.1	  -2.1018	 3.2952
 1	  226	 197	32.7	  -2.0714	 2.9776
 2	  442	 217	43.0	  -1.9618	 3.3589
 3	  502	 204	43.6	  -1.9068	 3.2103
 4	  626	 210	47.5	  -1.9778	 3.3089
 5	  675	 213	42.7	  -2.0012	 3.2365
 6	  768	 197	43.6	  -2.0048	 3.6735
 7	  827	 181	41.5	  -2.0510	 3.8139
 8	  904	 176	40.2	  -1.9575	 3.2901
 9	 1086	 145	40.3	  -1.9473	 3.1175
10	 1299	 188	42.1	  -2.0875	 3.3767
11	 1598	 184	47.1	  -2.0502	 3.3871
12	 1831	 162	45.8	  -1.8618	 3.6446
13	 1968	 134	47.3	  -1.9760	 3.7540
14	 2105	 129	43.5	  -1.9336	 3.4254
15	 2115	 130	42.7	  -2.0250	 3.4584
16	 2436	 125	41.1	  -2.0219	 3.1101
17	 2430	 138	39.3	  -2.0752	 3.3328
18	 2596	 106	45.9	  -2.0795	 3.6301
19	 2995	 127	45.5	  -2.0442	 3.6841
20	 2918	 126	44.2	  -2.1826	 3.5883
21	 3239	 123	41.3	  -2.1361	 3.8145
22	 3262	 121	44.6	  -2.0186	 4.0552
23	 3559	 120	40.6	  -2.0254	 4.1252
24	 3852	 101	45.0	  -2.0370	 4.7962
25	 4156	  90	40.5	  -2.0139	 4.1203
26	 4586	  83	41.3	  -2.1615	 4.6111
27	 4979	  85	33.8	  -2.0993	 3.7041
28	 5229	  60	35.2	  -2.0169	 3.4337
29	 5501	  56	31.8	  -2.1180	 3.4097
30	    0	   0	 0.0	   0.0000	 0.0000
31	 6610	  37	42.9	  -2.2312	 4.0155
32	 6400	  85	39.0	  -2.0946	 3.6828
33	 7231	  51	38.9	  -2.0218	 3.8534
34	 6781	  42	37.3	  -2.1187	 4.4017
35	 5607	  13	43.3	  -2.1270	 4.5568
36	 7390	  26	28.5	  -2.2047	 3.2478
37	 7352	  53	27.4	  -2.1450	 3.6911
38	    0	   0	 0.0	   0.0000	 0.0000
