order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  135	 198	19.7	  -2.5825	 3.3570
 1	  180	 197	23.6	  -2.4342	 3.1132
 2	  320	 217	37.8	  -2.2501	 3.4488
 3	  376	 204	38.8	  -2.2315	 3.1771
 4	  475	 210	43.0	  -2.1964	 3.2633
 5	  537	 213	38.6	  -2.1840	 3.2276
 6	  624	 197	39.5	  -2.3421	 3.7029
 7	  690	 181	38.8	  -2.3105	 3.7482
 8	  776	 176	37.7	  -2.1834	 3.3308
 9	  949	 145	38.1	  -2.1964	 3.1433
10	 1144	 188	40.4	  -2.4141	 3.3775
11	 1431	 184	45.8	  -2.3417	 3.3662
12	 1688	 162	44.2	  -2.1671	 3.6361
13	 1849	 134	45.7	  -2.3295	 3.7654
14	 2023	 129	42.4	  -2.2218	 3.4514
15	 2076	 130	42.2	  -2.3359	 3.4565
16	 2435	 125	40.4	  -2.3000	 3.1044
17	 2475	 138	38.6	  -2.3835	 3.3231
18	 2693	 106	45.0	  -2.3931	 3.6220
19	 3148	 127	44.9	  -2.3730	 3.6920
20	 3093	 126	43.7	  -2.5073	 3.5866
21	 3494	 123	40.8	  -2.4932	 3.8489
22	 3561	 121	44.1	  -2.3303	 4.0397
23	 3928	 120	40.3	  -2.3447	 4.1364
24	 4314	 101	44.9	  -2.3596	 4.7875
25	 4708	  90	40.1	  -2.3637	 4.1037
26	 5245	  83	41.2	  -2.4901	 4.6060
27	 5733	  85	33.8	  -2.4698	 3.6812
28	 6044	  60	35.3	  -2.3706	 3.4412
29	 6389	  56	31.7	  -2.4253	 3.3827
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7815	  37	42.8	  -2.5490	 4.0118
32	 7603	  85	39.2	  -2.4551	 3.6609
33	 8628	  51	39.2	  -2.3643	 3.8413
34	 8125	  42	37.5	  -2.4660	 4.3671
35	 6882	  13	43.2	  -2.5811	 4.4942
36	 8829	  26	29.0	  -2.5785	 3.2429
37	 8864	  53	27.2	  -2.5674	 3.7506
38	    0	   0	 0.0	   0.0000	 0.0000
