order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  228	 198	28.2	  -2.3673	 3.2234
 1	  309	 197	29.8	  -2.3811	 3.0508
 2	  582	 217	41.6	  -2.2720	 3.4422
 3	  655	 204	42.5	  -2.1469	 3.2785
 4	  815	 210	46.3	  -2.1830	 3.2971
 5	  881	 213	41.9	  -2.1901	 3.2349
 6	  987	 197	42.8	  -2.2564	 3.6530
 7	 1059	 181	41.4	  -2.3282	 3.7593
 8	 1155	 176	40.1	  -2.1499	 3.2868
 9	 1394	 145	39.6	  -2.1813	 3.1319
10	 1654	 188	41.3	  -2.3865	 3.3805
11	 2028	 184	46.2	  -2.2846	 3.3776
12	 2311	 162	44.6	  -2.0802	 3.6364
13	 2482	 134	46.1	  -2.2645	 3.7697
14	 2649	 129	42.9	  -2.1548	 3.4413
15	 2664	 130	42.2	  -2.2812	 3.4546
16	 3058	 125	40.8	  -2.2412	 3.1053
17	 3045	 138	38.8	  -2.3438	 3.3500
18	 3263	 106	45.4	  -2.3222	 3.6365
19	 3755	 127	45.1	  -2.2790	 3.7048
20	 3648	 126	44.1	  -2.4321	 3.5999
21	 4069	 123	41.0	  -2.4014	 3.8255
22	 4096	 121	44.4	  -2.2246	 4.0655
23	 4488	 120	40.2	  -2.2358	 4.1591
24	 4849	 101	45.0	  -2.2747	 4.7978
25	 5249	  90	40.1	  -2.2479	 4.1170
26	 5813	  83	41.1	  -2.3887	 4.6168
27	 6314	  85	33.7	  -2.2994	 3.6940
28	 6624	  60	35.0	  -2.2719	 3.4884
29	 6993	  56	31.5	  -2.3411	 3.4346
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8456	  37	42.5	  -2.4085	 4.0090
32	 8235	  85	38.9	  -2.3006	 3.7100
33	 9408	  51	38.7	  -2.2561	 3.8805
34	 8792	  42	37.4	  -2.3785	 4.3910
35	 7323	  13	43.1	  -2.4182	 4.4373
36	 9621	  26	28.8	  -2.4818	 3.2279
37	 9617	  53	25.8	  -2.4726	 3.7927
38	    0	   0	 0.0	   0.0000	 0.0000
