order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   66	 198	16.2	  -2.2295	 3.5945
 1	   85	 197	20.2	  -2.5157	 3.1616
 2	  141	 217	33.8	  -2.3728	 3.3250
 3	  164	 204	36.1	  -2.1702	 3.2492
 4	  204	 210	40.1	  -2.2205	 3.4093
 5	  230	 213	36.3	  -2.3399	 3.2015
 6	  270	 197	36.6	  -2.2064	 3.5589
 7	  288	 181	35.5	  -2.4337	 3.8297
 8	  321	 176	34.9	  -2.3139	 3.3219
 9	  381	 145	36.1	  -2.3598	 3.1484
10	  460	 188	38.7	  -2.3902	 3.3525
11	  565	 184	44.3	  -2.3653	 3.3450
12	  661	 162	43.4	  -2.1557	 3.5864
13	  711	 134	45.2	  -2.2388	 3.7114
14	  775	 129	41.7	  -2.2948	 3.4318
15	  794	 130	40.5	  -2.3340	 3.4549
16	  938	 125	38.9	  -2.3898	 3.0885
17	  948	 138	36.7	  -2.4364	 3.3198
18	 1018	 106	43.9	  -2.4016	 3.5877
19	 1187	 127	43.5	  -2.3924	 3.6589
20	 1162	 126	42.2	  -2.5263	 3.5515
21	 1313	 123	39.5	  -2.5295	 3.8026
22	 1331	 121	42.9	  -2.3430	 4.0396
23	 1453	 120	39.3	  -2.3712	 4.1173
24	 1591	 101	44.2	  -2.3570	 4.7311
25	 1735	  90	39.5	  -2.3767	 4.0583
26	 1933	  83	40.2	  -2.5159	 4.5781
27	 2103	  85	32.8	  -2.4549	 3.6643
28	 2220	  60	34.2	  -2.4207	 3.4165
29	 2385	  56	30.9	  -2.4586	 3.3885
30	    0	   0	 0.0	   0.0000	 0.0000
31	 2870	  37	42.0	  -2.5334	 3.9201
32	 2798	  85	38.4	  -2.4727	 3.6482
33	 3174	  51	38.2	  -2.3743	 3.8084
34	 3010	  42	36.5	  -2.4316	 4.4044
35	 2518	  13	42.0	  -2.4890	 4.5999
36	 3312	  26	27.9	  -2.6286	 3.1807
37	 3311	  53	26.8	  -2.5369	 3.5397
38	    0	   0	 0.0	   0.0000	 0.0000
