order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   86	 198	 4.3	  -2.4921	 3.2766
 1	  103	 197	10.3	  -2.1674	 3.0196
 2	  147	 217	20.0	  -1.8648	 3.4790
 3	  175	 204	23.6	  -1.7723	 3.4675
 4	  214	 210	27.2	  -1.7854	 3.5581
 5	  257	 213	24.8	  -1.8563	 3.5202
 6	  320	 197	28.2	  -2.0962	 3.6503
 7	  354	 181	29.7	  -1.9933	 3.8461
 8	  418	 176	30.1	  -1.9243	 3.4813
 9	  526	 145	32.3	  -1.9576	 3.2102
10	  658	 188	36.3	  -2.2261	 3.4333
11	  857	 184	41.6	  -2.0875	 3.4440
12	 1063	 162	41.2	  -2.0037	 3.6819
13	 1223	 134	43.5	  -2.1526	 3.7314
14	 1405	 129	40.7	  -2.0230	 3.4315
15	 1515	 130	40.4	  -2.1244	 3.4903
16	 1854	 125	38.7	  -2.1601	 3.1308
17	 1968	 138	37.6	  -2.2248	 3.3618
18	 2222	 106	43.6	  -2.1803	 3.6527
19	 2696	 127	44.0	  -2.1768	 3.6882
20	 2722	 126	43.0	  -2.3234	 3.5866
21	 3170	 123	40.1	  -2.2901	 3.8446
22	 3319	 121	43.6	  -2.1516	 4.0515
23	 3722	 120	40.0	  -2.1421	 4.1769
24	 4182	 101	44.8	  -2.1959	 4.7783
25	 4669	  90	39.9	  -2.1866	 4.0972
26	 5301	  83	40.9	  -2.3153	 4.6133
27	 5862	  85	33.7	  -2.2835	 3.6686
28	 6276	  60	35.1	  -2.1881	 3.4430
29	 6724	  56	31.7	  -2.2574	 3.3827
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8423	  37	42.8	  -2.3650	 4.0011
32	 8316	  85	39.2	  -2.2688	 3.6552
33	 9486	  51	39.1	  -2.1799	 3.8787
34	 9037	  42	37.7	  -2.2962	 4.3572
35	 7563	  13	43.4	  -2.4421	 4.4561
36	10014	  26	28.7	  -2.4364	 3.2426
37	10068	  53	27.2	  -2.3974	 3.7591
38	    0	   0	 0.0	   0.0000	 0.0000
