order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  129	 198	26.7	  -2.2804	 3.2392
 1	  170	 197	30.5	  -2.1980	 2.9061
 2	  325	 217	42.0	  -2.2527	 3.4081
 3	  368	 204	43.2	  -2.2183	 3.1928
 4	  464	 210	46.8	  -2.2454	 3.3190
 5	  502	 213	42.2	  -2.1641	 3.2454
 6	  576	 197	42.1	  -2.2414	 3.7123
 7	  612	 181	41.8	  -2.3867	 3.7333
 8	  673	 176	40.0	  -2.2394	 3.3048
 9	  808	 145	40.3	  -2.2081	 3.1179
10	  970	 188	41.3	  -2.3917	 3.3854
11	 1193	 184	46.4	  -2.3034	 3.3714
12	 1370	 162	45.1	  -2.1179	 3.6034
13	 1474	 134	46.2	  -2.2738	 3.7832
14	 1588	 129	42.7	  -2.2066	 3.4740
15	 1595	 130	42.6	  -2.2963	 3.4453
16	 1850	 125	40.5	  -2.3059	 3.1184
17	 1851	 138	38.9	  -2.3415	 3.3343
18	 1988	 106	45.5	  -2.3370	 3.6256
19	 2292	 127	45.2	  -2.3109	 3.6963
20	 2237	 126	43.9	  -2.4623	 3.5926
21	 2497	 123	40.9	  -2.4271	 3.8184
22	 2522	 121	44.1	  -2.2470	 4.0723
23	 2751	 120	40.3	  -2.2871	 4.1296
24	 2994	 101	45.0	  -2.2970	 4.7286
25	 3254	  90	39.9	  -2.2895	 4.1226
26	 3591	  83	40.9	  -2.4205	 4.6137
27	 3896	  85	33.4	  -2.3809	 3.7191
28	 4085	  60	35.0	  -2.3022	 3.4734
29	 4331	  56	31.3	  -2.3398	 3.4008
30	    0	   0	 0.0	   0.0000	 0.0000
31	 5287	  37	42.3	  -2.4715	 3.9990
32	 5163	  85	38.7	  -2.3400	 3.6745
33	 5830	  51	38.7	  -2.2761	 3.8678
34	 5509	  42	37.3	  -2.4263	 4.3520
35	 4595	  13	42.9	  -2.3896	 4.5207
36	 6088	  26	28.4	  -2.4682	 3.2528
37	 6104	  53	26.9	  -2.3425	 3.6709
38	    0	   0	 0.0	   0.0000	 0.0000
