order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  162	 198	28.0	  -2.7596	 3.4039
 1	  222	 197	30.5	  -2.3830	 3.0780
 2	  441	 217	42.8	  -2.3766	 3.3858
 3	  511	 204	43.9	  -2.3112	 3.2144
 4	  655	 210	47.7	  -2.3685	 3.2922
 5	  720	 213	43.1	  -2.3598	 3.2282
 6	  831	 197	44.0	  -2.4117	 3.6743
 7	  913	 181	42.6	  -2.4659	 3.7680
 8	 1014	 176	41.3	  -2.3242	 3.2878
 9	 1256	 145	41.1	  -2.3218	 3.1129
10	 1519	 188	42.4	  -2.5136	 3.3374
11	 1905	 184	47.7	  -2.4286	 3.3563
12	 2224	 162	45.6	  -2.2702	 3.6229
13	 2423	 134	47.1	  -2.4140	 3.7622
14	 2616	 129	43.7	  -2.3225	 3.4165
15	 2660	 130	43.2	  -2.4531	 3.4418
16	 3096	 125	41.6	  -2.4201	 3.0732
17	 3112	 138	39.7	  -2.4780	 3.3081
18	 3359	 106	46.3	  -2.4747	 3.6183
19	 3932	 127	45.7	  -2.4304	 3.6931
20	 3834	 126	44.5	  -2.5849	 3.6094
21	 4321	 123	41.4	  -2.5570	 3.8274
22	 4358	 121	45.1	  -2.4207	 4.0069
23	 4766	 120	41.0	  -2.4022	 4.1353
24	 5207	 101	45.4	  -2.4192	 4.7701
25	 5655	  90	40.8	  -2.4021	 4.0723
26	 6248	  83	41.6	  -2.5460	 4.6124
27	 6789	  85	34.2	  -2.5103	 3.6843
28	 7149	  60	35.3	  -2.4397	 3.4603
29	 7530	  56	32.1	  -2.4865	 3.4205
30	    0	   0	 0.0	   0.0000	 0.0000
31	 9120	  37	43.3	  -2.5641	 3.9994
32	 8825	  85	39.6	  -2.4994	 3.6744
33	 9991	  51	39.4	  -2.4164	 3.8217
34	 9443	  42	37.8	  -2.5360	 4.3664
35	 7746	  13	43.3	  -2.5990	 4.5267
36	10260	  26	28.9	  -2.6412	 3.2384
37	10232	  53	27.6	  -2.5172	 3.7208
38	    0	   0	 0.0	   0.0000	 0.0000
