order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  208	 198	30.2	  -2.4196	 3.2877
 1	  279	 197	31.4	  -2.4276	 3.0679
 2	  541	 217	42.4	  -2.3288	 3.3854
 3	  608	 204	44.5	  -2.2408	 3.1796
 4	  768	 210	47.0	  -2.2996	 3.3104
 5	  827	 213	42.4	  -2.3053	 3.2249
 6	  932	 197	43.4	  -2.3344	 3.6608
 7	  999	 181	41.4	  -2.4027	 3.7791
 8	 1098	 176	40.1	  -2.2901	 3.3245
 9	 1322	 145	40.3	  -2.2914	 3.1226
10	 1579	 188	42.0	  -2.4286	 3.3470
11	 1940	 184	47.1	  -2.3772	 3.3589
12	 2226	 162	45.5	  -2.2001	 3.6232
13	 2394	 134	46.9	  -2.3110	 3.7304
14	 2549	 129	43.4	  -2.2614	 3.4475
15	 2562	 130	42.8	  -2.3923	 3.4559
16	 2949	 125	41.5	  -2.3523	 3.0943
17	 2931	 138	39.2	  -2.4077	 3.3426
18	 3144	 106	46.0	  -2.4261	 3.6188
19	 3625	 127	45.5	  -2.3685	 3.6816
20	 3526	 126	44.2	  -2.5378	 3.5786
21	 3929	 123	41.3	  -2.4934	 3.8368
22	 3946	 121	44.5	  -2.3114	 4.0780
23	 4323	 120	40.6	  -2.3526	 4.1475
24	 4670	 101	45.3	  -2.3528	 4.7516
25	 5065	  90	40.3	  -2.3545	 4.0904
26	 5554	  83	41.4	  -2.4906	 4.5930
27	 6020	  85	34.0	  -2.4539	 3.7030
28	 6330	  60	35.1	  -2.3635	 3.4693
29	 6673	  56	32.0	  -2.4419	 3.3810
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7994	  37	43.3	  -2.5316	 3.9916
32	 7725	  85	39.4	  -2.4473	 3.6506
33	 8771	  51	39.0	  -2.3495	 3.8410
34	 8203	  42	37.7	  -2.4745	 4.3829
35	 6812	  13	43.7	  -2.4967	 4.4809
36	 8897	  26	28.3	  -2.5548	 3.2724
37	 8874	  53	27.4	  -2.4730	 3.6808
38	    0	   0	 0.0	   0.0000	 0.0000
