order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  177	 198	19.4	  -2.5237	 3.1233
 1	  231	 197	20.8	  -2.5724	 2.9581
 2	  390	 217	33.1	  -2.3878	 3.3834
 3	  441	 204	33.6	  -2.2351	 3.2108
 4	  540	 210	37.9	  -2.2713	 3.2352
 5	  587	 213	33.3	  -2.3352	 3.1896
 6	  652	 197	34.8	  -2.3201	 3.6937
 7	  692	 181	35.6	  -2.5015	 3.7752
 8	  753	 176	34.6	  -2.3769	 3.2938
 9	  880	 145	34.6	  -2.3210	 3.1419
10	 1029	 188	37.7	  -2.4664	 3.3562
11	 1241	 184	43.1	  -2.4442	 3.3722
12	 1413	 162	41.8	  -2.2661	 3.6021
13	 1512	 134	43.6	  -2.3680	 3.7822
14	 1618	 129	40.2	  -2.3337	 3.4444
15	 1615	 130	40.0	  -2.4301	 3.4846
16	 1858	 125	38.7	  -2.4179	 3.0928
17	 1854	 138	37.1	  -2.4422	 3.3255
18	 1971	 106	43.5	  -2.4833	 3.6269
19	 2252	 127	43.6	  -2.4320	 3.6849
20	 2194	 126	42.0	  -2.5934	 3.5949
21	 2431	 123	39.3	  -2.5738	 3.8337
22	 2433	 121	42.7	  -2.3920	 4.0335
23	 2639	 120	39.0	  -2.4092	 4.1536
24	 2851	 101	43.8	  -2.4227	 4.7589
25	 3069	  90	39.2	  -2.4500	 4.0925
26	 3372	  83	39.9	  -2.5769	 4.6065
27	 3623	  85	32.7	  -2.5583	 3.6911
28	 3810	  60	34.1	  -2.4446	 3.4483
29	 3984	  56	30.8	  -2.5184	 3.3607
30	    0	   0	 0.0	   0.0000	 0.0000
31	 4748	  37	41.9	  -2.5792	 3.9967
32	 4593	  85	38.2	  -2.4940	 3.6810
33	 5153	  51	38.2	  -2.4292	 3.8091
34	 4837	  42	37.0	  -2.5607	 4.3553
35	 3991	  13	42.6	  -2.6818	 4.5758
36	 5197	  26	28.0	  -2.6225	 3.2001
37	 5207	  53	27.8	  -2.5791	 3.7553
38	    0	   0	 0.0	   0.0000	 0.0000
