order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   53	 198	14.2	  -1.5578	 2.7556
 1	   61	 197	16.5	  -2.5340	 3.1018
 2	   94	 217	30.9	  -1.8487	 3.2146
 3	  110	 204	33.2	  -1.9039	 3.2405
 4	  132	 210	36.3	  -1.8678	 3.4105
 5	  147	 213	32.3	  -1.7346	 3.3593
 6	  178	 197	32.4	  -2.0985	 3.4409
 7	  184	 181	34.3	  -2.0578	 3.6901
 8	  206	 176	32.8	  -1.9584	 3.3549
 9	  236	 145	35.6	  -1.8437	 2.9698
10	  276	 188	37.9	  -2.1701	 3.3310
11	  336	 184	43.1	  -2.0148	 3.3976
12	  390	 162	40.7	  -1.8676	 3.6952
13	  418	 134	42.2	  -2.0657	 3.7585
14	  448	 129	40.6	  -1.9063	 3.4054
15	  463	 130	40.0	  -2.0734	 3.4297
16	  553	 125	37.5	  -1.9993	 3.0900
17	  546	 138	35.7	  -2.1214	 3.3092
18	  585	 106	41.7	  -2.1124	 3.5863
19	  668	 127	41.6	  -2.0602	 3.6856
20	  654	 126	41.3	  -2.2368	 3.5565
21	  730	 123	39.2	  -2.2367	 3.7520
22	  735	 121	41.8	  -2.0372	 4.0090
23	  798	 120	38.9	  -2.0553	 4.0634
24	  868	 101	42.7	  -2.0029	 4.7090
25	  938	  90	38.4	  -1.9799	 4.1571
26	 1032	  83	39.1	  -2.1722	 4.6369
27	 1120	  85	31.8	  -2.1086	 3.6998
28	 1180	  60	33.3	  -2.1074	 3.4170
29	 1251	  56	30.3	  -2.0591	 3.3732
30	    0	   0	 0.0	   0.0000	 0.0000
31	 1494	  37	40.6	  -2.2547	 3.9248
32	 1464	  85	37.3	  -2.1268	 3.7077
33	 1654	  51	36.8	  -1.9990	 3.7891
34	 1553	  42	35.7	  -2.2267	 4.2621
35	 1282	  13	41.6	  -2.0949	 4.3762
36	 1701	  26	28.4	  -2.3280	 3.2094
37	 1703	  53	23.2	  -2.3964	 3.8111
38	    0	   0	 0.0	   0.0000	 0.0000
