order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   83	 198	21.5	  -2.5772	 2.9288
 1	  109	 197	23.5	  -2.1624	 3.0887
 2	  202	 217	39.8	  -2.1200	 3.3361
 3	  239	 204	41.0	  -1.9999	 3.1982
 4	  313	 210	44.4	  -1.9735	 3.4036
 5	  356	 213	40.1	  -1.9871	 3.2880
 6	  422	 197	41.4	  -2.1124	 3.6362
 7	  471	 181	41.2	  -2.0717	 3.6329
 8	  537	 176	39.2	  -1.9585	 3.3180
 9	  676	 145	39.5	  -2.0219	 3.1134
10	  827	 188	41.6	  -2.1812	 3.3264
11	 1051	 184	46.4	  -2.1362	 3.3444
12	 1251	 162	44.7	  -1.9177	 3.6223
13	 1377	 134	46.5	  -2.0720	 3.7578
14	 1525	 129	43.2	  -1.9742	 3.3952
15	 1576	 130	42.6	  -2.1007	 3.4579
16	 1869	 125	40.6	  -2.0669	 3.0854
17	 1915	 138	39.1	  -2.1588	 3.3198
18	 2093	 106	45.6	  -2.1579	 3.6046
19	 2471	 127	45.4	  -2.1078	 3.6799
20	 2442	 126	44.5	  -2.2820	 3.5588
21	 2777	 123	41.0	  -2.2474	 3.7991
22	 2847	 121	44.4	  -2.0882	 4.0169
23	 3152	 120	40.5	  -2.0813	 4.1155
24	 3480	 101	45.3	  -2.1271	 4.7630
25	 3808	  90	40.5	  -2.1153	 4.0625
26	 4264	  83	41.3	  -2.2583	 4.5849
27	 4668	  85	33.8	  -2.2207	 3.6777
28	 4939	  60	35.4	  -2.1289	 3.4387
29	 5238	  56	31.9	  -2.1591	 3.3964
30	    0	   0	 0.0	   0.0000	 0.0000
31	 6488	  37	42.9	  -2.2797	 3.9714
32	 6335	  85	39.4	  -2.1486	 3.6483
33	 7212	  51	39.2	  -2.1148	 3.8071
34	 6852	  42	37.7	  -2.2321	 4.3216
35	 5727	  13	42.9	  -2.2697	 4.4938
36	 7560	  26	28.7	  -2.3350	 3.2137
37	 7561	  53	27.4	  -2.1327	 3.5380
38	    0	   0	 0.0	   0.0000	 0.0000
