order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   93	 198	22.5	  -1.6908	 3.0425
 1	  121	 197	24.3	  -2.2555	 2.8789
 2	  221	 217	38.3	  -2.1604	 3.3177
 3	  259	 204	39.6	  -2.0138	 3.1744
 4	  328	 210	42.7	  -2.0592	 3.3727
 5	  367	 213	39.2	  -2.0922	 3.2847
 6	  432	 197	39.0	  -2.0720	 3.7456
 7	  467	 181	39.0	  -2.2923	 3.7641
 8	  524	 176	38.2	  -2.1152	 3.2578
 9	  640	 145	38.2	  -2.0576	 3.1537
10	  772	 188	40.5	  -2.2277	 3.3540
11	  968	 184	45.1	  -2.1779	 3.3785
12	 1132	 162	44.0	  -1.9697	 3.6439
13	 1233	 134	45.6	  -2.1298	 3.7316
14	 1354	 129	42.1	  -2.0824	 3.4572
15	 1388	 130	41.3	  -2.1362	 3.4807
16	 1620	 125	40.2	  -2.1739	 3.1052
17	 1646	 138	38.4	  -2.2369	 3.3002
18	 1784	 106	45.1	  -2.2278	 3.6057
19	 2090	 127	44.9	  -2.1878	 3.6724
20	 2042	 126	43.7	  -2.3337	 3.5835
21	 2318	 123	40.6	  -2.3274	 3.8292
22	 2356	 121	44.1	  -2.1492	 4.0328
23	 2592	 120	40.0	  -2.1401	 4.1144
24	 2858	 101	44.7	  -2.1683	 4.6488
25	 3097	  90	40.0	  -2.1855	 4.0702
26	 3447	  83	41.0	  -2.3330	 4.6080
27	 3756	  85	33.4	  -2.2849	 3.7296
28	 3982	  60	34.8	  -2.1908	 3.4469
29	 4253	  56	31.3	  -2.2446	 3.4077
30	    0	   0	 0.0	   0.0000	 0.0000
31	 5159	  37	42.6	  -2.3297	 3.9587
32	 5040	  85	38.9	  -2.2428	 3.6585
33	 5703	  51	38.9	  -2.1575	 3.8388
34	 5420	  42	37.4	  -2.3399	 4.3336
35	 4491	  13	43.3	  -2.3644	 4.4554
36	 5963	  26	28.9	  -2.4005	 3.1587
37	 5965	  53	27.1	  -2.2324	 3.5699
38	    0	   0	 0.0	   0.0000	 0.0000
