order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  105	 198	19.7	  -2.5679	 3.7249
 1	  140	 197	25.5	  -2.1584	 2.9847
 2	  257	 217	39.0	  -2.1678	 3.3579
 3	  305	 204	39.3	  -2.0269	 3.3026
 4	  393	 210	44.0	  -2.1192	 3.3117
 5	  445	 213	40.0	  -2.0656	 3.2320
 6	  527	 197	40.7	  -2.1429	 3.6486
 7	  584	 181	40.3	  -2.2198	 3.7516
 8	  661	 176	38.9	  -2.0460	 3.3203
 9	  827	 145	38.7	  -2.1024	 3.1149
10	 1006	 188	41.2	  -2.2883	 3.3626
11	 1277	 184	46.2	  -2.2175	 3.3418
12	 1518	 162	44.7	  -2.0671	 3.6159
13	 1667	 134	46.3	  -2.1915	 3.7629
14	 1839	 129	43.1	  -2.1068	 3.4273
15	 1897	 130	42.7	  -2.1988	 3.4632
16	 2246	 125	40.9	  -2.1905	 3.0966
17	 2293	 138	39.0	  -2.2469	 3.3373
18	 2504	 106	45.6	  -2.2513	 3.5863
19	 2951	 127	45.5	  -2.2226	 3.6810
20	 2909	 126	44.3	  -2.3672	 3.5582
21	 3310	 123	41.2	  -2.3418	 3.8188
22	 3393	 121	44.5	  -2.1812	 4.0300
23	 3752	 120	40.7	  -2.1572	 4.0732
24	 4133	 101	45.3	  -2.1950	 4.7577
25	 4533	  90	40.6	  -2.2227	 4.0906
26	 5055	  83	41.5	  -2.3510	 4.5643
27	 5546	  85	34.0	  -2.3053	 3.6678
28	 5896	  60	35.3	  -2.2184	 3.4279
29	 6225	  56	31.9	  -2.2972	 3.3870
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7633	  37	43.2	  -2.3742	 3.9692
32	 7467	  85	39.5	  -2.2682	 3.6425
33	 8483	  51	39.0	  -2.1795	 3.8514
34	 8050	  42	37.6	  -2.3074	 4.3497
35	 6705	  13	43.5	  -2.4368	 4.4158
36	 8831	  26	28.5	  -2.4210	 3.2607
37	 8801	  53	27.5	  -2.4210	 3.7539
38	    0	   0	 0.0	   0.0000	 0.0000
