order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   68	 198	 8.6	  -2.0172	 2.8429
 1	   83	 197	11.6	  -2.7304	 3.0047
 2	  120	 217	25.1	  -2.6505	 3.4520
 3	  147	 204	29.7	  -2.1633	 3.3063
 4	  191	 210	37.4	  -2.2836	 3.2976
 5	  224	 213	34.5	  -2.2091	 3.1990
 6	  285	 197	33.7	  -2.3647	 3.7459
 7	  324	 181	35.4	  -2.6230	 3.7818
 8	  390	 176	36.2	  -2.3857	 3.2542
 9	  500	 145	37.4	  -2.3129	 3.1040
10	  650	 188	39.1	  -2.4165	 3.3672
11	  854	 184	44.8	  -2.3959	 3.4015
12	 1070	 162	43.4	  -2.2129	 3.6500
13	 1236	 134	45.3	  -2.3211	 3.7358
14	 1427	 129	42.1	  -2.2946	 3.4462
15	 1536	 130	42.2	  -2.4145	 3.4387
16	 1897	 125	40.1	  -2.3875	 3.1115
17	 2035	 138	38.6	  -2.4265	 3.3550
18	 2301	 106	45.4	  -2.4480	 3.6148
19	 2810	 127	45.3	  -2.4113	 3.6916
20	 2853	 126	44.2	  -2.5635	 3.5648
21	 3371	 123	41.0	  -2.5480	 3.8144
22	 3555	 121	44.6	  -2.3733	 4.0415
23	 4014	 120	40.8	  -2.3699	 4.1351
24	 4561	 101	45.5	  -2.4277	 4.7538
25	 5118	  90	40.5	  -2.4187	 4.0583
26	 5861	  83	41.6	  -2.5513	 4.5689
27	 6536	  85	33.9	  -2.4869	 3.7155
28	 7009	  60	35.4	  -2.4456	 3.4451
29	 7647	  56	31.8	  -2.4799	 3.3788
30	    0	   0	 0.0	   0.0000	 0.0000
31	 9676	  37	43.5	  -2.5594	 3.9923
32	 9654	  85	39.5	  -2.4914	 3.6677
33	11096	  51	39.6	  -2.3966	 3.8238
34	10689	  42	38.0	  -2.5233	 4.3942
35	 8929	  13	43.1	  -2.5483	 4.5307
36	12048	  26	28.9	  -2.6232	 3.2223
37	12226	  53	28.1	  -2.5462	 3.6047
38	    0	   0	 0.0	   0.0000	 0.0000
