order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  171	 198	28.5	  -2.4845	 3.1530
 1	  226	 197	29.5	  -2.5749	 3.0176
 2	  426	 217	42.0	  -2.3602	 3.3687
 3	  485	 204	42.7	  -2.3389	 3.2330
 4	  601	 210	46.4	  -2.3576	 3.3135
 5	  646	 213	41.7	  -2.3558	 3.2403
 6	  731	 197	42.3	  -2.3505	 3.6594
 7	  774	 181	40.8	  -2.4696	 3.7520
 8	  847	 176	38.9	  -2.3357	 3.3272
 9	 1011	 145	39.1	  -2.3789	 3.0944
10	 1198	 188	41.4	  -2.5070	 3.3462
11	 1460	 184	46.4	  -2.4416	 3.3745
12	 1669	 162	45.2	  -2.2523	 3.6064
13	 1783	 134	46.7	  -2.3717	 3.7326
14	 1906	 129	42.6	  -2.3235	 3.4464
15	 1900	 130	42.1	  -2.4362	 3.4885
16	 2174	 125	40.7	  -2.4145	 3.0982
17	 2155	 138	38.9	  -2.4739	 3.3331
18	 2299	 106	45.3	  -2.4714	 3.6087
19	 2634	 127	45.1	  -2.4316	 3.6818
20	 2558	 126	43.9	  -2.5754	 3.5749
21	 2833	 123	40.6	  -2.5758	 3.8139
22	 2836	 121	44.0	  -2.4023	 4.0584
23	 3079	 120	40.0	  -2.4337	 4.1488
24	 3321	 101	44.8	  -2.4139	 4.7492
25	 3579	  90	39.9	  -2.4045	 4.1081
26	 3931	  83	41.0	  -2.5347	 4.5684
27	 4244	  85	33.4	  -2.4872	 3.7003
28	 4429	  60	34.6	  -2.4375	 3.4354
29	 4674	  56	31.3	  -2.5108	 3.3750
30	    0	   0	 0.0	   0.0000	 0.0000
31	 5530	  37	42.8	  -2.5894	 3.9849
32	 5343	  85	38.6	  -2.5172	 3.6822
33	 6009	  51	38.6	  -2.4112	 3.8363
34	 5626	  42	37.2	  -2.5300	 4.3926
35	 4681	  13	42.3	  -2.4843	 4.5411
36	 6083	  26	27.9	  -2.5945	 3.2198
37	 6065	  53	26.8	  -2.4891	 3.6568
38	    0	   0	 0.0	   0.0000	 0.0000
