order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   93	 198	14.8	  -1.7255	 2.7377
 1	  110	 197	15.5	  -2.2563	 2.7720
 2	  164	 217	28.1	  -2.3681	 3.5749
 3	  181	 204	29.2	  -2.1170	 3.2597
 4	  211	 210	31.6	  -2.2419	 3.2658
 5	  233	 213	26.8	  -2.1105	 3.1960
 6	  262	 197	28.0	  -2.5317	 3.7633
 7	  275	 181	29.2	  -2.5293	 3.9634
 8	  295	 176	29.0	  -2.3480	 3.3008
 9	  333	 145	29.7	  -2.2226	 3.0468
10	  376	 188	33.6	  -2.3315	 3.3259
11	  445	 184	38.2	  -2.4242	 3.3227
12	  498	 162	37.4	  -2.1651	 3.5144
13	  532	 134	39.9	  -2.2910	 3.7433
14	  572	 129	36.5	  -2.2530	 3.4350
15	  571	 130	35.4	  -2.2819	 3.4707
16	  659	 125	34.6	  -2.3717	 3.1032
17	  653	 138	33.1	  -2.4462	 3.3290
18	  685	 106	38.7	  -2.4316	 3.6069
19	  766	 127	39.6	  -2.3503	 3.7050
20	  746	 126	38.4	  -2.5249	 3.5697
21	  820	 123	35.5	  -2.4874	 3.8501
22	  820	 121	38.5	  -2.2697	 4.0343
23	  880	 120	35.5	  -2.2756	 4.2396
24	  944	 101	40.5	  -2.3179	 4.6783
25	 1012	  90	36.1	  -2.3062	 4.0038
26	 1119	  83	36.9	  -2.4736	 4.6913
27	 1200	  85	29.8	  -2.4791	 3.8290
28	 1252	  60	30.9	  -2.2830	 3.3998
29	 1332	  56	27.6	  -2.4348	 3.3680
30	    0	   0	 0.0	   0.0000	 0.0000
31	 1566	  37	39.1	  -2.5866	 3.9591
32	 1525	  85	35.8	  -2.3734	 3.7344
33	 1696	  51	36.3	  -2.2919	 3.8310
34	 1599	  42	34.1	  -2.3399	 4.4210
35	 1303	  13	40.0	  -2.3254	 4.3528
36	 1743	  26	26.0	  -2.4877	 3.3402
37	 1793	  53	25.5	  -2.5813	 3.8501
38	    0	   0	 0.0	   0.0000	 0.0000
