order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  173	 198	27.7	  -2.4519	 3.2185
 1	  232	 197	30.7	  -2.4604	 3.0236
 2	  447	 217	42.4	  -2.4088	 3.3982
 3	  512	 204	42.9	  -2.2728	 3.2355
 4	  647	 210	46.7	  -2.2898	 3.3383
 5	  706	 213	42.7	  -2.3244	 3.1891
 6	  803	 197	42.5	  -2.3751	 3.7528
 7	  870	 181	42.1	  -2.4826	 3.7090
 8	  963	 176	40.8	  -2.3151	 3.2606
 9	 1167	 145	40.6	  -2.3289	 3.1077
10	 1406	 188	42.3	  -2.4433	 3.3428
11	 1758	 184	47.0	  -2.4171	 3.3622
12	 2027	 162	45.5	  -2.2255	 3.6067
13	 2200	 134	46.8	  -2.3354	 3.7471
14	 2359	 129	43.2	  -2.2888	 3.4490
15	 2376	 130	43.0	  -2.4048	 3.4414
16	 2770	 125	41.2	  -2.3632	 3.0932
17	 2774	 138	39.6	  -2.4170	 3.3204
18	 3000	 106	46.0	  -2.4530	 3.6360
19	 3465	 127	45.7	  -2.3873	 3.6998
20	 3395	 126	44.5	  -2.5438	 3.5711
21	 3807	 123	41.5	  -2.5237	 3.7968
22	 3857	 121	44.6	  -2.3654	 4.0550
23	 4221	 120	40.8	  -2.3816	 4.1296
24	 4604	 101	45.4	  -2.4006	 4.7412
25	 5009	  90	40.5	  -2.3707	 4.0866
26	 5551	  83	41.4	  -2.5279	 4.5944
27	 6046	  85	33.9	  -2.4763	 3.7022
28	 6388	  60	35.1	  -2.4024	 3.4593
29	 6739	  56	32.0	  -2.4353	 3.3859
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8156	  37	43.4	  -2.5671	 3.9948
32	 7941	  85	39.3	  -2.4475	 3.6592
33	 8971	  51	39.2	  -2.3450	 3.8284
34	 8458	  42	37.8	  -2.4903	 4.3786
35	 7007	  13	43.1	  -2.5978	 4.5158
36	 9218	  26	28.8	  -2.5887	 3.2216
37	 9234	  53	27.7	  -2.5134	 3.5938
38	    0	   0	 0.0	   0.0000	 0.0000
