order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   91	 198	18.5	  -1.8268	 3.7038
 1	  120	 197	21.7	  -2.2364	 3.0704
 2	  207	 217	35.8	  -2.0047	 3.3124
 3	  238	 204	37.6	  -1.8442	 3.3035
 4	  303	 210	42.5	  -1.9727	 3.3073
 5	  343	 213	38.8	  -1.8927	 3.2747
 6	  404	 197	38.3	  -1.9933	 3.7182
 7	  440	 181	38.7	  -2.0710	 3.6313
 8	  493	 176	37.9	  -1.8898	 3.2445
 9	  612	 145	38.2	  -1.9198	 3.0843
10	  742	 188	40.1	  -2.0793	 3.3743
11	  937	 184	44.8	  -2.0088	 3.3793
12	 1102	 162	43.8	  -1.8155	 3.6178
13	 1205	 134	45.8	  -1.9764	 3.7170
14	 1336	 129	42.1	  -1.9324	 3.4238
15	 1372	 130	42.1	  -2.0018	 3.4215
16	 1620	 125	39.6	  -1.9939	 3.1135
17	 1653	 138	37.9	  -2.0581	 3.3424
18	 1802	 106	44.8	  -2.0845	 3.6023
19	 2115	 127	45.1	  -2.0078	 3.6721
20	 2089	 126	43.5	  -2.1773	 3.5600
21	 2375	 123	40.6	  -2.1825	 3.7897
22	 2426	 121	43.9	  -1.9860	 4.0384
23	 2673	 120	40.1	  -2.0088	 4.1217
24	 2945	 101	44.9	  -2.0228	 4.7433
25	 3229	  90	40.0	  -2.0337	 4.0950
26	 3606	  83	40.8	  -2.1504	 4.6498
27	 3952	  85	33.4	  -2.1384	 3.6858
28	 4180	  60	34.8	  -2.0550	 3.4328
29	 4461	  56	31.5	  -2.0761	 3.3579
30	    0	   0	 0.0	   0.0000	 0.0000
31	 5452	  37	42.4	  -2.1874	 3.9718
32	 5335	  85	38.9	  -2.0991	 3.6429
33	 6037	  51	38.9	  -2.0270	 3.8297
34	 5725	  42	37.4	  -2.1413	 4.3356
35	 4772	  13	42.9	  -2.2167	 4.4405
36	 6272	  26	28.4	  -2.2136	 3.1959
37	 6271	  53	27.4	  -2.2005	 3.5885
38	    0	   0	 0.0	   0.0000	 0.0000
