order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   88	 198	18.5	  -2.2851	 3.3084
 1	  118	 197	25.3	  -2.1353	 2.8336
 2	  215	 217	37.0	  -1.9994	 3.4657
 3	  257	 204	39.0	  -1.8602	 3.2859
 4	  336	 210	43.4	  -1.8957	 3.3005
 5	  383	 213	40.1	  -1.9341	 3.2064
 6	  460	 197	39.9	  -1.9430	 3.7117
 7	  514	 181	40.2	  -2.1426	 3.7354
 8	  587	 176	39.2	  -1.9592	 3.2727
 9	  735	 145	39.6	  -1.8963	 3.0706
10	  911	 188	40.8	  -2.0747	 3.3571
11	 1162	 184	45.7	  -2.0161	 3.3826
12	 1393	 162	44.8	  -1.8282	 3.5833
13	 1536	 134	46.3	  -1.9284	 3.7381
14	 1697	 129	42.9	  -1.9162	 3.4320
15	 1757	 130	42.8	  -2.0346	 3.4389
16	 2086	 125	40.9	  -2.0375	 3.0982
17	 2148	 138	39.1	  -2.0762	 3.3292
18	 2345	 106	45.7	  -2.0845	 3.6041
19	 2787	 127	45.3	  -2.0936	 3.6664
20	 2758	 126	44.0	  -2.1955	 3.5745
21	 3135	 123	41.0	  -2.1712	 3.8258
22	 3216	 121	44.6	  -1.9914	 4.0331
23	 3574	 120	40.7	  -2.0231	 4.1074
24	 3937	 101	45.2	  -2.0458	 4.7628
25	 4333	  90	40.4	  -2.0345	 4.0842
26	 4840	  83	41.3	  -2.1656	 4.6320
27	 5318	  85	33.7	  -2.1265	 3.6966
28	 5635	  60	35.3	  -2.0323	 3.4619
29	 6014	  56	31.9	  -2.0863	 3.3625
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7342	  37	43.5	  -2.2023	 3.9826
32	 7221	  85	39.2	  -2.1058	 3.6757
33	 8167	  51	39.3	  -2.0278	 3.8165
34	 7743	  42	37.7	  -2.1516	 4.3395
35	 6526	  13	43.3	  -2.2343	 4.4973
36	 8492	  26	28.8	  -2.2281	 3.1986
37	 8528	  53	27.9	  -2.1657	 3.6032
38	    0	   0	 0.0	   0.0000	 0.0000
