order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  154	 198	18.2	  -2.0146	 3.1525
 1	  199	 197	21.2	  -1.9638	 3.0033
 2	  344	 217	36.0	  -1.9868	 3.4397
 3	  405	 204	37.4	  -1.8727	 3.2200
 4	  516	 210	41.6	  -1.9883	 3.3034
 5	  588	 213	38.1	  -1.9130	 3.2683
 6	  692	 197	38.7	  -2.0967	 3.6873
 7	  766	 181	38.5	  -2.0794	 3.7879
 8	  866	 176	37.8	  -2.0086	 3.3001
 9	 1074	 145	37.9	  -1.9571	 3.1533
10	 1301	 188	40.5	  -2.1512	 3.3683
11	 1648	 184	45.5	  -2.0724	 3.3820
12	 1948	 162	44.1	  -1.9271	 3.6442
13	 2141	 134	45.8	  -2.0737	 3.7482
14	 2344	 129	42.5	  -1.9717	 3.4404
15	 2421	 130	41.9	  -2.0799	 3.4659
16	 2844	 125	40.5	  -2.0376	 3.0893
17	 2900	 138	38.7	  -2.1022	 3.3451
18	 3150	 106	45.4	  -2.1271	 3.6135
19	 3712	 127	45.0	  -2.1067	 3.6951
20	 3643	 126	43.9	  -2.2506	 3.5835
21	 4116	 123	41.0	  -2.2259	 3.8161
22	 4198	 121	44.3	  -2.0264	 4.0418
23	 4620	 120	40.5	  -2.0716	 4.1141
24	 5063	 101	45.1	  -2.0833	 4.7773
25	 5535	  90	40.4	  -2.0753	 4.0629
26	 6157	  83	41.2	  -2.1895	 4.6334
27	 6735	  85	33.8	  -2.1594	 3.6805
28	 7092	  60	35.3	  -2.1030	 3.4389
29	 7491	  56	31.7	  -2.1524	 3.3833
30	    0	   0	 0.0	   0.0000	 0.0000
31	 9106	  37	42.9	  -2.2476	 3.9968
32	 8887	  85	39.2	  -2.1382	 3.6800
33	10035	  51	39.0	  -2.0849	 3.8472
34	 9442	  42	37.6	  -2.1965	 4.3924
35	 7903	  13	43.2	  -2.2676	 4.4780
36	10310	  26	28.9	  -2.2655	 3.2348
37	10265	  53	27.3	  -2.2517	 3.7319
38	    0	   0	 0.0	   0.0000	 0.0000
