order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  101	 198	26.6	  -2.2942	 3.3588
 1	  133	 197	28.3	  -2.1631	 2.9276
 2	  248	 217	40.7	  -2.1157	 3.3873
 3	  281	 204	41.4	  -2.1163	 3.2309
 4	  347	 210	45.2	  -2.1380	 3.3493
 5	  381	 213	40.6	  -2.0993	 3.2285
 6	  432	 197	40.8	  -2.0731	 3.6322
 7	  458	 181	38.9	  -2.1815	 3.8726
 8	  501	 176	38.1	  -2.0869	 3.3152
 9	  589	 145	39.2	  -2.0856	 3.0841
10	  707	 188	40.5	  -2.1674	 3.3850
11	  860	 184	45.7	  -2.1488	 3.3549
12	  981	 162	44.2	  -1.9604	 3.6536
13	 1045	 134	46.1	  -2.0977	 3.7367
14	 1116	 129	42.4	  -2.0371	 3.4403
15	 1120	 130	41.9	  -2.1195	 3.4177
16	 1296	 125	40.0	  -2.1228	 3.0898
17	 1285	 138	38.2	  -2.1739	 3.3195
18	 1371	 106	44.5	  -2.1933	 3.6367
19	 1568	 127	44.5	  -2.1524	 3.6926
20	 1530	 126	43.2	  -2.3138	 3.5711
21	 1690	 123	40.3	  -2.2426	 3.7947
22	 1698	 121	43.7	  -2.1215	 4.0539
23	 1839	 120	40.0	  -2.1336	 4.1220
24	 1993	 101	44.2	  -2.1343	 4.7496
25	 2141	  90	39.7	  -2.1306	 4.0701
26	 2352	  83	40.7	  -2.2919	 4.6012
27	 2539	  85	32.9	  -2.2311	 3.7233
28	 2660	  60	34.2	  -2.1622	 3.4360
29	 2805	  56	31.0	  -2.2204	 3.3822
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3321	  37	42.5	  -2.2876	 3.9215
32	 3210	  85	38.5	  -2.2292	 3.6477
33	 3625	  51	38.3	  -2.0853	 3.8261
34	 3401	  42	36.8	  -2.2636	 4.2606
35	 2876	  13	42.1	  -2.1992	 4.3989
36	 3691	  26	27.4	  -2.2808	 3.1872
37	 3657	  53	26.2	  -2.1985	 3.6413
38	    0	   0	 0.0	   0.0000	 0.0000
