order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  149	 198	24.5	  -2.0018	 3.3015
 1	  204	 197	27.7	  -2.0447	 3.0590
 2	  387	 217	39.8	  -2.0139	 3.4215
 3	  455	 204	41.7	  -1.8431	 3.2663
 4	  589	 210	45.2	  -1.9214	 3.3322
 5	  663	 213	41.1	  -1.9499	 3.2583
 6	  780	 197	41.7	  -1.9977	 3.7077
 7	  864	 181	41.4	  -2.0469	 3.7237
 8	  980	 176	40.2	  -1.9323	 3.2606
 9	 1218	 145	40.0	  -1.9365	 3.1419
10	 1504	 188	41.8	  -2.0760	 3.3676
11	 1902	 184	46.6	  -2.0484	 3.3931
12	 2244	 162	45.3	  -1.8584	 3.6100
13	 2470	 134	46.9	  -1.9895	 3.7538
14	 2702	 129	43.4	  -1.9067	 3.4433
15	 2766	 130	42.9	  -2.0518	 3.4628
16	 3247	 125	41.4	  -2.0228	 3.0954
17	 3310	 138	39.4	  -2.0964	 3.3665
18	 3615	 106	46.1	  -2.0800	 3.6270
19	 4248	 127	45.8	  -2.0376	 3.6977
20	 4161	 126	44.6	  -2.1897	 3.5775
21	 4730	 123	41.3	  -2.1953	 3.8384
22	 4806	 121	44.9	  -2.0155	 4.0517
23	 5282	 120	41.0	  -2.0293	 4.1382
24	 5800	 101	45.5	  -2.0341	 4.7748
25	 6350	  90	40.7	  -2.0378	 4.0825
26	 7042	  83	41.6	  -2.1606	 4.6063
27	 7710	  85	33.9	  -2.1351	 3.7278
28	 8113	  60	35.4	  -2.0829	 3.4661
29	 8566	  56	32.0	  -2.0923	 3.4195
30	    0	   0	 0.0	   0.0000	 0.0000
31	10474	  37	43.4	  -2.2237	 3.9935
32	10198	  85	39.4	  -2.1096	 3.6781
33	11587	  51	39.3	  -2.0182	 3.8477
34	10890	  42	37.7	  -2.1667	 4.3731
35	 9123	  13	43.5	  -2.2173	 4.4890
36	11915	  26	29.0	  -2.2642	 3.2006
37	11900	  53	27.8	  -2.1763	 3.7266
38	    0	   0	 0.0	   0.0000	 0.0000
