order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  145	 198	12.4	  -2.8165	 3.5293
 1	  188	 197	16.0	  -2.3829	 3.2486
 2	  300	 217	27.6	  -2.1448	 3.3984
 3	  343	 204	29.0	  -1.9822	 3.1773
 4	  415	 210	32.8	  -2.2213	 3.2901
 5	  454	 213	29.2	  -2.1529	 3.2294
 6	  511	 197	31.2	  -2.1627	 3.6475
 7	  546	 181	32.4	  -2.2412	 3.8413
 8	  599	 176	31.8	  -2.1218	 3.2937
 9	  697	 145	32.3	  -2.1605	 3.1466
10	  817	 188	35.6	  -2.2696	 3.4054
11	  990	 184	41.0	  -2.2196	 3.3567
12	 1130	 162	40.2	  -2.0744	 3.6364
13	 1214	 134	42.1	  -2.2061	 3.7821
14	 1306	 129	39.2	  -2.1413	 3.4595
15	 1333	 130	39.0	  -2.2274	 3.4463
16	 1540	 125	37.8	  -2.2298	 3.1060
17	 1552	 138	36.4	  -2.2872	 3.3425
18	 1661	 106	42.6	  -2.3059	 3.6226
19	 1914	 127	42.4	  -2.2620	 3.7234
20	 1866	 126	41.6	  -2.4215	 3.5770
21	 2082	 123	39.0	  -2.4017	 3.8251
22	 2105	 121	42.2	  -2.2648	 4.0204
23	 2302	 120	38.6	  -2.2461	 4.1156
24	 2496	 101	43.1	  -2.2405	 4.7678
25	 2693	  90	38.8	  -2.2694	 4.0978
26	 2988	  83	39.5	  -2.3812	 4.6327
27	 3232	  85	32.5	  -2.4007	 3.7434
28	 3433	  60	33.9	  -2.2613	 3.4447
29	 3594	  56	30.3	  -2.3770	 3.4014
30	    0	   0	 0.0	   0.0000	 0.0000
31	 4332	  37	41.5	  -2.4386	 4.0077
32	 4190	  85	38.2	  -2.3562	 3.6656
33	 4745	  51	37.8	  -2.2662	 3.8300
34	 4484	  42	37.0	  -2.3717	 4.2474
35	 3764	  13	42.4	  -2.5171	 4.4745
36	 4856	  26	27.6	  -2.4529	 3.2820
37	 4894	  53	27.7	  -2.4115	 3.8220
38	    0	   0	 0.0	   0.0000	 0.0000
