order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  174	 198	30.1	  -2.2107	 3.2560
 1	  240	 197	31.4	  -2.2094	 2.9705
 2	  470	 217	43.3	  -2.1266	 3.4364
 3	  540	 204	44.3	  -2.0074	 3.2395
 4	  685	 210	47.7	  -2.1116	 3.3189
 5	  755	 213	42.9	  -2.0524	 3.2406
 6	  856	 197	43.9	  -2.1454	 3.6740
 7	  937	 181	42.6	  -2.2474	 3.7077
 8	 1033	 176	41.4	  -2.1274	 3.2756
 9	 1271	 145	41.0	  -2.0999	 3.1143
10	 1539	 188	42.1	  -2.2395	 3.3629
11	 1912	 184	47.2	  -2.1872	 3.3845
12	 2214	 162	45.6	  -2.0115	 3.6176
13	 2401	 134	47.0	  -2.1487	 3.7433
14	 2583	 129	43.6	  -2.0638	 3.4149
15	 2626	 130	42.9	  -2.1840	 3.4387
16	 3038	 125	41.6	  -2.1466	 3.0884
17	 3058	 138	39.6	  -2.2182	 3.3217
18	 3289	 106	46.4	  -2.2126	 3.6127
19	 3824	 127	45.8	  -2.1929	 3.7104
20	 3729	 126	44.8	  -2.3519	 3.5671
21	 4196	 123	41.5	  -2.3272	 3.8321
22	 4247	 121	44.8	  -2.1407	 4.0443
23	 4642	 120	40.9	  -2.1476	 4.1597
24	 5069	 101	45.6	  -2.1660	 4.7673
25	 5507	  90	40.7	  -2.1629	 4.1120
26	 6092	  83	41.6	  -2.3221	 4.6094
27	 6628	  85	34.2	  -2.3013	 3.7037
28	 6978	  60	35.5	  -2.1950	 3.4692
29	 7364	  56	32.0	  -2.2267	 3.4143
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8944	  37	43.3	  -2.3288	 3.9818
32	 8670	  85	39.3	  -2.2549	 3.6840
33	 9826	  51	39.5	  -2.1613	 3.8416
34	 9215	  42	37.9	  -2.2808	 4.3963
35	 7730	  13	43.4	  -2.3119	 4.5296
36	10040	  26	28.6	  -2.3988	 3.2511
37	10031	  53	27.9	  -2.2754	 3.6724
38	    0	   0	 0.0	   0.0000	 0.0000
