order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  105	 198	19.9	  -2.9086	 3.7944
 1	  141	 197	24.7	  -2.4946	 2.9752
 2	  251	 217	39.0	  -2.3213	 3.3981
 3	  296	 204	39.3	  -2.2881	 3.2379
 4	  379	 210	43.8	  -2.3398	 3.3229
 5	  429	 213	39.4	  -2.3321	 3.2234
 6	  501	 197	41.3	  -2.4032	 3.6072
 7	  555	 181	40.1	  -2.4200	 3.6989
 8	  625	 176	38.6	  -2.3352	 3.2747
 9	  771	 145	39.1	  -2.3297	 3.0857
10	  937	 188	41.2	  -2.4800	 3.3312
11	 1186	 184	45.9	  -2.4378	 3.3571
12	 1395	 162	44.6	  -2.2448	 3.6147
13	 1529	 134	46.0	  -2.4183	 3.7588
14	 1679	 129	42.9	  -2.3341	 3.4131
15	 1722	 130	42.4	  -2.4260	 3.4495
16	 2023	 125	40.7	  -2.3783	 3.0823
17	 2060	 138	38.8	  -2.4898	 3.3321
18	 2242	 106	45.2	  -2.4851	 3.6330
19	 2629	 127	45.0	  -2.4291	 3.6832
20	 2581	 126	44.1	  -2.5636	 3.5651
21	 2917	 123	41.0	  -2.5610	 3.8092
22	 2976	 121	44.2	  -2.4167	 4.0164
23	 3267	 120	40.5	  -2.3932	 4.1017
24	 3588	 101	45.1	  -2.4153	 4.7644
25	 3934	  90	40.0	  -2.4252	 4.0991
26	 4337	  83	41.4	  -2.5652	 4.5916
27	 4733	  85	33.7	  -2.5064	 3.6874
28	 5001	  60	35.3	  -2.4072	 3.4596
29	 5270	  56	31.8	  -2.4653	 3.4195
30	    0	   0	 0.0	   0.0000	 0.0000
31	 6435	  37	42.8	  -2.5786	 3.9687
32	 6265	  85	39.3	  -2.5036	 3.6602
33	 7110	  51	38.9	  -2.4218	 3.8364
34	 6719	  42	37.5	  -2.5308	 4.3851
35	 5580	  13	42.7	  -2.6437	 4.4663
36	 7350	  26	28.6	  -2.6617	 3.2108
37	 7324	  53	27.3	  -2.6154	 3.7178
38	    0	   0	 0.0	   0.0000	 0.0000
