order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  155	 198	26.4	  -2.3561	 3.3205
 1	  207	 197	27.6	  -2.2207	 3.0297
 2	  394	 217	40.7	  -2.2559	 3.3877
 3	  458	 204	42.4	  -2.1238	 3.2124
 4	  580	 210	46.0	  -2.1963	 3.3184
 5	  643	 213	41.3	  -2.1878	 3.2425
 6	  740	 197	42.3	  -2.1561	 3.6814
 7	  812	 181	40.5	  -2.2177	 3.7908
 8	  904	 176	39.4	  -2.1802	 3.3143
 9	 1109	 145	39.7	  -2.1810	 3.1297
10	 1345	 188	41.9	  -2.2919	 3.3572
11	 1686	 184	46.7	  -2.2483	 3.3801
12	 1970	 162	45.2	  -2.0560	 3.6365
13	 2145	 134	46.7	  -2.1719	 3.7462
14	 2321	 129	43.2	  -2.1338	 3.4292
15	 2357	 130	42.6	  -2.2513	 3.4215
16	 2754	 125	40.7	  -2.2372	 3.1066
17	 2780	 138	39.3	  -2.2849	 3.3266
18	 3020	 106	45.8	  -2.3109	 3.6305
19	 3527	 127	45.5	  -2.2731	 3.6811
20	 3468	 126	44.2	  -2.4097	 3.5945
21	 3896	 123	41.1	  -2.3873	 3.8402
22	 3963	 121	44.6	  -2.2088	 4.0438
23	 4348	 120	40.7	  -2.2311	 4.1334
24	 4772	 101	45.3	  -2.2529	 4.7749
25	 5198	  90	40.4	  -2.2335	 4.0944
26	 5775	  83	41.5	  -2.3868	 4.5956
27	 6301	  85	33.9	  -2.3183	 3.7091
28	 6646	  60	35.1	  -2.2690	 3.4843
29	 7066	  56	31.6	  -2.3204	 3.4081
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8611	  37	42.9	  -2.4190	 4.0114
32	 8429	  85	39.4	  -2.3187	 3.6709
33	 9587	  51	39.2	  -2.2322	 3.8569
34	 9074	  42	37.7	  -2.3426	 4.3759
35	 7655	  13	43.3	  -2.3864	 4.5217
36	 9986	  26	28.7	  -2.4213	 3.2373
37	10015	  53	27.4	  -2.3629	 3.7140
38	    0	   0	 0.0	   0.0000	 0.0000
