order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  172	 198	22.0	  -2.6346	 3.2925
 1	  233	 197	24.7	  -2.4871	 2.9654
 2	  426	 217	38.6	  -2.3206	 3.3809
 3	  507	 204	40.3	  -2.1855	 3.2478
 4	  660	 210	44.1	  -2.1952	 3.2968
 5	  751	 213	39.9	  -2.1928	 3.2245
 6	  886	 197	41.0	  -2.3072	 3.6993
 7	 1010	 181	40.0	  -2.3497	 3.7113
 8	 1152	 176	39.0	  -2.1883	 3.3048
 9	 1450	 145	39.5	  -2.2130	 3.1282
10	 1805	 188	41.4	  -2.3557	 3.3546
11	 2313	 184	46.4	  -2.3009	 3.3565
12	 2779	 162	44.9	  -2.1417	 3.6162
13	 3093	 134	46.5	  -2.2751	 3.7456
14	 3431	 129	43.2	  -2.2064	 3.4189
15	 3575	 130	42.8	  -2.2981	 3.4637
16	 4229	 125	41.4	  -2.2580	 3.0778
17	 4376	 138	39.6	  -2.3525	 3.3376
18	 4827	 106	46.4	  -2.3384	 3.6087
19	 5774	 127	46.0	  -2.3116	 3.6865
20	 5731	 126	44.8	  -2.4674	 3.5824
21	 6612	 123	41.7	  -2.4370	 3.8046
22	 6832	 121	45.1	  -2.2668	 4.0538
23	 7619	 120	41.0	  -2.2653	 4.1479
24	 8469	 101	45.9	  -2.3052	 4.7730
25	 9365	  90	40.9	  -2.2941	 4.0999
26	10532	  83	41.8	  -2.4503	 4.6196
27	11630	  85	34.3	  -2.4008	 3.6814
28	12441	  60	35.9	  -2.3220	 3.4536
29	13247	  56	32.3	  -2.3599	 3.3994
30	    0	   0	 0.0	   0.0000	 0.0000
31	16591	  37	43.7	  -2.4703	 4.0108
32	16337	  85	39.9	  -2.3864	 3.6621
33	18674	  51	39.5	  -2.2790	 3.8606
34	17809	  42	38.3	  -2.3936	 4.3436
35	14825	  13	44.1	  -2.4716	 4.4526
36	19860	  26	29.1	  -2.5068	 3.2237
37	19971	  53	27.9	  -2.4742	 3.7116
38	    0	   0	 0.0	   0.0000	 0.0000
