order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   60	 198	15.9	  -1.9281	 2.5472
 1	   78	 197	18.1	  -2.2889	 2.5206
 2	  121	 217	32.2	  -2.2806	 3.2172
 3	  147	 204	32.2	  -2.1240	 3.4130
 4	  188	 210	38.4	  -2.2216	 3.4185
 5	  221	 213	34.2	  -2.0937	 3.1948
 6	  274	 197	34.5	  -2.2513	 3.7253
 7	  301	 181	35.8	  -2.4769	 3.7662
 8	  353	 176	36.1	  -2.2781	 3.2263
 9	  439	 145	37.9	  -2.2021	 3.1046
10	  551	 188	38.8	  -2.4067	 3.4465
11	  709	 184	44.9	  -2.3198	 3.3917
12	  862	 162	43.8	  -2.1333	 3.5756
13	  976	 134	44.5	  -2.2899	 3.7626
14	 1096	 129	41.9	  -2.2269	 3.4410
15	 1152	 130	41.3	  -2.3013	 3.4937
16	 1386	 125	39.9	  -2.2930	 3.0881
17	 1453	 138	38.0	  -2.3781	 3.3440
18	 1605	 106	45.1	  -2.3645	 3.5758
19	 1918	 127	44.8	  -2.3467	 3.6855
20	 1919	 126	43.6	  -2.5141	 3.5775
21	 2198	 123	41.0	  -2.4590	 3.7892
22	 2279	 121	44.0	  -2.2769	 4.0300
23	 2530	 120	40.1	  -2.2956	 4.1286
24	 2819	 101	45.0	  -2.3259	 4.7604
25	 3104	  90	40.1	  -2.3472	 4.0948
26	 3497	  83	40.9	  -2.4674	 4.6221
27	 3826	  85	33.7	  -2.4105	 3.6793
28	 4060	  60	34.8	  -2.3499	 3.4640
29	 4349	  56	31.5	  -2.4123	 3.3849
30	    0	   0	 0.0	   0.0000	 0.0000
31	 5383	  37	42.6	  -2.4791	 3.9864
32	 5247	  85	39.1	  -2.3957	 3.6389
33	 5920	  51	39.2	  -2.3248	 3.8070
34	 5646	  42	37.3	  -2.4745	 4.3643
35	 4686	  13	42.9	  -2.4872	 4.4698
36	 6197	  26	28.6	  -2.5508	 3.2186
37	 6176	  53	27.4	  -2.4099	 3.5968
38	    0	   0	 0.0	   0.0000	 0.0000
