order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  159	 198	28.7	  -2.2930	 3.3769
 1	  215	 197	31.8	  -2.1837	 2.9605
 2	  416	 217	43.2	  -2.1075	 3.3944
 3	  472	 204	43.5	  -2.0001	 3.2810
 4	  598	 210	47.1	  -2.0544	 3.3099
 5	  649	 213	42.5	  -2.0273	 3.2415
 6	  735	 197	42.7	  -2.1124	 3.7425
 7	  789	 181	42.1	  -2.2028	 3.6980
 8	  864	 176	40.8	  -2.0138	 3.2798
 9	 1045	 145	40.5	  -2.0528	 3.1148
10	 1250	 188	41.5	  -2.2124	 3.3961
11	 1540	 184	46.9	  -2.1480	 3.3870
12	 1777	 162	45.2	  -1.9562	 3.6304
13	 1910	 134	46.8	  -2.0982	 3.7586
14	 2037	 129	43.2	  -2.0318	 3.4558
15	 2056	 130	42.7	  -2.1308	 3.4736
16	 2366	 125	41.2	  -2.1323	 3.0847
17	 2364	 138	39.0	  -2.2006	 3.3433
18	 2538	 106	46.0	  -2.1735	 3.6034
19	 2928	 127	45.4	  -2.1410	 3.6830
20	 2850	 126	44.3	  -2.2966	 3.5681
21	 3177	 123	41.0	  -2.2738	 3.8241
22	 3203	 121	44.5	  -2.0977	 4.0716
23	 3492	 120	40.3	  -2.1082	 4.1536
24	 3785	 101	45.2	  -2.1188	 4.7621
25	 4099	  90	40.2	  -2.1103	 4.0959
26	 4515	  83	41.4	  -2.2904	 4.5825
27	 4904	  85	33.7	  -2.2261	 3.6802
28	 5148	  60	34.9	  -2.1346	 3.4635
29	 5421	  56	31.6	  -2.1650	 3.3963
30	    0	   0	 0.0	   0.0000	 0.0000
31	 6513	  37	43.0	  -2.2977	 3.9916
32	 6334	  85	38.9	  -2.1638	 3.6770
33	 7140	  51	39.2	  -2.0862	 3.8656
34	 6720	  42	37.4	  -2.2491	 4.3661
35	 5529	  13	42.6	  -2.2438	 4.4418
36	 7327	  26	28.2	  -2.3533	 3.2622
37	 7276	  53	27.1	  -2.1754	 3.6086
38	    0	   0	 0.0	   0.0000	 0.0000
