order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  140	 198	28.6	  -2.3205	 3.2887
 1	  190	 197	31.0	  -2.1226	 3.0327
 2	  363	 217	42.6	  -2.2963	 3.3960
 3	  411	 204	43.5	  -2.0855	 3.2677
 4	  518	 210	47.1	  -2.1836	 3.3144
 5	  564	 213	42.5	  -2.1995	 3.2530
 6	  643	 197	42.0	  -2.2662	 3.7292
 7	  684	 181	42.0	  -2.3119	 3.7065
 8	  753	 176	40.6	  -2.1402	 3.2611
 9	  905	 145	40.4	  -2.1412	 3.1154
10	 1082	 188	41.3	  -2.3030	 3.3769
11	 1330	 184	46.7	  -2.2546	 3.3976
12	 1534	 162	45.2	  -2.0715	 3.6045
13	 1650	 134	45.9	  -2.1960	 3.7634
14	 1755	 129	43.2	  -2.1537	 3.4354
15	 1769	 130	42.5	  -2.2829	 3.4882
16	 2037	 125	41.1	  -2.2224	 3.0836
17	 2031	 138	39.1	  -2.3045	 3.3279
18	 2171	 106	45.9	  -2.3144	 3.6085
19	 2503	 127	45.4	  -2.2516	 3.6827
20	 2426	 126	44.2	  -2.4384	 3.5767
21	 2719	 123	41.1	  -2.3819	 3.8089
22	 2728	 121	44.3	  -2.2174	 4.0372
23	 2969	 120	40.4	  -2.2080	 4.1322
24	 3212	 101	44.9	  -2.2579	 4.7594
25	 3499	  90	39.8	  -2.2446	 4.1181
26	 3816	  83	41.2	  -2.4009	 4.5972
27	 4128	  85	33.8	  -2.3694	 3.6965
28	 4349	  60	34.8	  -2.2610	 3.4647
29	 4569	  56	31.5	  -2.3061	 3.4258
30	    0	   0	 0.0	   0.0000	 0.0000
31	 5501	  37	42.7	  -2.4141	 3.9857
32	 5340	  85	38.8	  -2.3173	 3.6574
33	 5983	  51	38.9	  -2.2097	 3.8569
34	 5643	  42	37.2	  -2.3677	 4.4160
35	 4628	  13	43.0	  -2.4346	 4.4405
36	 6123	  26	28.5	  -2.4524	 3.2298
37	 6099	  53	27.0	  -2.3289	 3.6604
38	    0	   0	 0.0	   0.0000	 0.0000
