order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  170	 198	29.7	  -2.3812	 3.2768
 1	  231	 197	31.5	  -2.4841	 2.9222
 2	  439	 217	42.3	  -2.3705	 3.4451
 3	  496	 204	43.7	  -2.3057	 3.2010
 4	  622	 210	47.1	  -2.3634	 3.3167
 5	  672	 213	42.2	  -2.3756	 3.2391
 6	  758	 197	43.1	  -2.3350	 3.6582
 7	  815	 181	41.1	  -2.4307	 3.8207
 8	  889	 176	39.7	  -2.3207	 3.3348
 9	 1060	 145	39.8	  -2.3814	 3.1333
10	 1270	 188	41.6	  -2.4852	 3.3776
11	 1560	 184	46.9	  -2.4315	 3.3803
12	 1793	 162	45.2	  -2.2271	 3.6544
13	 1922	 134	46.8	  -2.4020	 3.7531
14	 2050	 129	43.2	  -2.3096	 3.4494
15	 2053	 130	42.6	  -2.4232	 3.4578
16	 2363	 125	41.1	  -2.3974	 3.1008
17	 2352	 138	39.3	  -2.4669	 3.3396
18	 2521	 106	45.7	  -2.4873	 3.6205
19	 2900	 127	45.4	  -2.4531	 3.6925
20	 2821	 126	44.3	  -2.5843	 3.5920
21	 3153	 123	41.0	  -2.5497	 3.8351
22	 3172	 121	44.3	  -2.3860	 4.0701
23	 3441	 120	40.4	  -2.3982	 4.1663
24	 3724	 101	45.2	  -2.4233	 4.7862
25	 4034	  90	40.1	  -2.4226	 4.1082
26	 4446	  83	41.1	  -2.5570	 4.6095
27	 4814	  85	33.6	  -2.5040	 3.7229
28	 5051	  60	34.9	  -2.4290	 3.4717
29	 5317	  56	31.7	  -2.4752	 3.4271
30	    0	   0	 0.0	   0.0000	 0.0000
31	 6397	  37	42.8	  -2.5685	 4.0046
32	 6187	  85	39.0	  -2.4947	 3.6731
33	 7009	  51	38.8	  -2.3966	 3.8488
34	 6574	  42	37.4	  -2.5100	 4.3810
35	 5501	  13	42.9	  -2.4968	 4.4667
36	 7175	  26	28.4	  -2.5664	 3.2466
37	 7144	  53	27.3	  -2.5182	 3.6964
38	    0	   0	 0.0	   0.0000	 0.0000
