order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   94	 198	20.6	  -2.4551	 3.4136
 1	  125	 197	26.1	  -2.4151	 3.1635
 2	  232	 217	40.6	  -2.3727	 3.4048
 3	  267	 204	42.1	  -2.3207	 3.2435
 4	  342	 210	46.0	  -2.2820	 3.2732
 5	  381	 213	41.4	  -2.3147	 3.2533
 6	  446	 197	41.5	  -2.4595	 3.7015
 7	  483	 181	41.2	  -2.4752	 3.7243
 8	  539	 176	39.8	  -2.3011	 3.3261
 9	  662	 145	39.7	  -2.3244	 3.1233
10	  792	 188	41.8	  -2.5312	 3.3730
11	  991	 184	46.7	  -2.4241	 3.3487
12	 1158	 162	45.3	  -2.2412	 3.5811
13	 1257	 134	46.8	  -2.4105	 3.7285
14	 1365	 129	42.8	  -2.3431	 3.4537
15	 1391	 130	42.6	  -2.4097	 3.4528
16	 1627	 125	40.9	  -2.4073	 3.0964
17	 1642	 138	38.7	  -2.4525	 3.3391
18	 1776	 106	45.5	  -2.4875	 3.6117
19	 2072	 127	45.1	  -2.4129	 3.6902
20	 2027	 126	44.0	  -2.5911	 3.5714
21	 2274	 123	41.1	  -2.5553	 3.8019
22	 2309	 121	44.2	  -2.4061	 4.0455
23	 2521	 120	40.4	  -2.3898	 4.1045
24	 2760	 101	44.8	  -2.4092	 4.7747
25	 3003	  90	40.0	  -2.4033	 4.1036
26	 3325	  83	41.1	  -2.5472	 4.6290
27	 3608	  85	33.6	  -2.5204	 3.6947
28	 3797	  60	34.9	  -2.4318	 3.4253
29	 4006	  56	31.4	  -2.4582	 3.4204
30	    0	   0	 0.0	   0.0000	 0.0000
31	 4888	  37	42.9	  -2.5887	 3.9509
32	 4750	  85	39.1	  -2.4894	 3.6518
33	 5377	  51	38.8	  -2.3853	 3.8748
34	 5088	  42	37.4	  -2.5522	 4.3305
35	 4213	  13	42.5	  -2.4983	 4.5827
36	 5581	  26	28.8	  -2.5877	 3.2246
37	 5546	  53	26.6	  -2.5422	 3.7716
38	    0	   0	 0.0	   0.0000	 0.0000
