order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   32	 198	14.8	  21.2520	 0.4976
 1	   36	 197	15.7	  -2.1826	 0.6586
 2	   42	 217	10.4	  -4.0115	 2.5974
 3	   45	 204	 9.2	  -0.8698	 7.4997
 4	   51	 210	12.4	  -0.6324	 3.9337
 5	   56	 213	 8.7	  -2.7984	 5.9784
 6	   71	 197	14.3	  -2.6032	 2.3038
 7	   69	 181	10.8	  -2.6905	 6.4424
 8	   73	 176	11.6	  -1.2393	 2.4664
 9	   76	 145	13.0	  -0.6462	 3.0161
10	   79	 188	15.3	  -2.2539	 4.2537
11	   87	 184	21.4	  -1.7926	 3.0727
12	   96	 162	23.3	  -1.7153	 3.2341
13	  102	 134	22.1	  -1.5627	 3.7114
14	  107	 129	23.5	  -1.7313	 3.4414
15	  115	 130	20.9	  -1.6657	 4.1178
16	  148	 125	17.4	  -1.6042	 3.3295
17	  142	 138	15.6	  -2.0931	 3.2505
18	  148	 106	23.0	  -1.7029	 3.6723
19	  157	 127	24.3	  -2.0389	 4.0054
20	  156	 126	23.5	  -2.1757	 3.8317
21	  165	 123	25.3	  -2.0951	 3.5626
22	  170	 121	25.6	  -1.8555	 4.1941
23	  176	 120	25.8	  -2.2027	 4.4214
24	  184	 101	31.1	  -1.7905	 4.6099
25	  201	  90	27.0	  -1.8159	 4.3026
26	  219	  83	27.8	  -2.1636	 4.9501
27	  235	  85	23.0	  -2.4907	 3.4782
28	  249	  60	23.6	  -1.7472	 3.5678
29	  261	  56	21.6	  -2.0050	 3.4550
30	    0	   0	 0.0	   0.0000	 0.0000
31	  304	  37	31.9	  -2.1749	 3.7911
32	  300	  85	29.2	  -2.2038	 3.9173
33	  337	  51	30.2	  -2.1875	 4.0914
34	  313	  42	28.7	  -2.0503	 4.1971
35	  261	  13	34.3	  -2.2612	 3.6602
36	  352	  26	22.1	  -2.6697	 3.4574
37	  348	  53	15.5	  -2.5623	 3.6197
38	    0	   0	 0.0	   0.0000	 0.0000
