order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	   84	 198	25.8	  -2.4679	 3.5037
 1	  109	 197	27.0	  -2.2539	 3.0342
 2	  207	 217	40.2	  -2.0405	 3.4974
 3	  234	 204	40.7	  -1.9108	 3.3366
 4	  295	 210	45.3	  -1.9589	 3.3687
 5	  321	 213	40.6	  -1.9135	 3.2302
 6	  371	 197	41.6	  -1.9723	 3.6626
 7	  394	 181	41.2	  -2.0803	 3.6750
 8	  441	 176	39.1	  -1.9351	 3.2948
 9	  536	 145	39.1	  -1.9272	 3.1195
10	  634	 188	40.9	  -2.1028	 3.3114
11	  783	 184	45.8	  -2.0527	 3.3685
12	  900	 162	44.5	  -1.8231	 3.6009
13	  977	 134	45.6	  -1.9841	 3.7820
14	 1052	 129	42.7	  -1.9523	 3.4203
15	 1064	 130	42.0	  -2.0155	 3.4374
16	 1248	 125	40.1	  -2.0200	 3.0478
17	 1244	 138	38.3	  -2.1039	 3.3070
18	 1346	 106	44.8	  -2.0600	 3.6265
19	 1550	 127	44.5	  -2.0205	 3.6830
20	 1514	 126	43.5	  -2.1850	 3.5702
21	 1699	 123	40.6	  -2.1759	 3.8033
22	 1720	 121	43.7	  -1.9805	 4.0502
23	 1880	 120	39.9	  -1.9750	 4.1673
24	 2047	 101	44.6	  -2.0170	 4.7493
25	 2233	  90	39.6	  -1.9742	 4.0861
26	 2458	  83	40.7	  -2.1644	 4.6349
27	 2672	  85	33.3	  -2.1125	 3.7016
28	 2820	  60	34.8	  -2.0394	 3.4836
29	 2954	  56	31.3	  -2.0789	 3.3860
30	    0	   0	 0.0	   0.0000	 0.0000
31	 3622	  37	42.2	  -2.2052	 3.9672
32	 3529	  85	38.4	  -2.1051	 3.6712
33	 4011	  51	38.2	  -1.9553	 3.8494
34	 3774	  42	37.1	  -2.1178	 4.3332
35	 3105	  13	42.7	  -2.2553	 4.4296
36	 4143	  26	27.9	  -2.1938	 3.2131
37	 4144	  53	25.8	  -2.1636	 3.7140
38	    0	   0	 0.0	   0.0000	 0.0000
