order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  219	 198	29.7	  -2.4567	 3.1876
 1	  298	 197	30.5	  -2.4545	 2.9787
 2	  579	 217	42.3	  -2.3791	 3.3901
 3	  659	 204	43.4	  -2.2410	 3.2469
 4	  835	 210	46.9	  -2.2940	 3.3287
 5	  912	 213	42.7	  -2.2870	 3.2218
 6	 1039	 197	43.3	  -2.3988	 3.7144
 7	 1133	 181	41.9	  -2.4448	 3.7312
 8	 1253	 176	41.0	  -2.3404	 3.3024
 9	 1528	 145	40.4	  -2.3049	 3.1568
10	 1842	 188	42.1	  -2.4763	 3.3866
11	 2294	 184	46.9	  -2.4143	 3.3834
12	 2661	 162	45.6	  -2.2402	 3.6529
13	 2882	 134	46.9	  -2.3727	 3.7384
14	 3094	 129	43.4	  -2.3016	 3.4575
15	 3118	 130	43.3	  -2.4179	 3.4515
16	 3610	 125	41.6	  -2.3904	 3.0965
17	 3628	 138	39.6	  -2.4553	 3.3387
18	 3910	 106	46.2	  -2.4689	 3.6318
19	 4541	 127	45.8	  -2.3945	 3.6732
20	 4422	 126	44.7	  -2.5747	 3.6163
21	 4972	 123	41.4	  -2.5439	 3.8347
22	 5009	 121	44.8	  -2.3841	 4.0413
23	 5491	 120	41.0	  -2.3839	 4.1412
24	 5967	 101	45.6	  -2.4098	 4.7563
25	 6487	  90	40.7	  -2.4119	 4.0928
26	 7160	  83	41.7	  -2.5522	 4.6159
27	 7797	  85	33.7	  -2.5398	 3.7228
28	 8185	  60	35.4	  -2.4039	 3.4586
29	 8617	  56	32.1	  -2.4603	 3.3973
30	    0	   0	 0.0	   0.0000	 0.0000
31	10496	  37	43.3	  -2.5796	 4.0143
32	10170	  85	39.5	  -2.4761	 3.6657
33	11529	  51	39.3	  -2.3849	 3.8593
34	10841	  42	38.0	  -2.5073	 4.3730
35	 9139	  13	43.2	  -2.5872	 4.5190
36	11783	  26	28.8	  -2.5986	 3.2064
37	11805	  53	27.7	  -2.5416	 3.7377
38	    0	   0	 0.0	   0.0000	 0.0000
