order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  106	 198	16.7	  -2.2639	 2.8536
 1	  135	 197	19.8	  -2.2494	 2.9016
 2	  226	 217	33.2	  -2.1509	 3.5339
 3	  267	 204	34.2	  -2.0193	 3.3615
 4	  337	 210	39.2	  -2.0587	 3.3245
 5	  388	 213	35.6	  -2.0971	 3.2884
 6	  462	 197	36.4	  -2.1774	 3.6983
 7	  510	 181	36.9	  -2.1747	 3.7533
 8	  579	 176	35.6	  -2.0127	 3.3418
 9	  712	 145	37.2	  -2.0345	 3.1539
10	  873	 188	39.6	  -2.2762	 3.3501
11	 1102	 184	44.5	  -2.1662	 3.3862
12	 1317	 162	43.1	  -1.9540	 3.6454
13	 1456	 134	45.1	  -2.1692	 3.7044
14	 1613	 129	42.0	  -2.0731	 3.4660
15	 1683	 130	41.6	  -2.1528	 3.4985
16	 2005	 125	39.7	  -2.1152	 3.1175
17	 2067	 138	38.3	  -2.2023	 3.3347
18	 2268	 106	44.6	  -2.2037	 3.6210
19	 2683	 127	44.6	  -2.1670	 3.7104
20	 2662	 126	43.6	  -2.3370	 3.5926
21	 3047	 123	40.8	  -2.2929	 3.8333
22	 3158	 121	43.9	  -2.1183	 4.0690
23	 3491	 120	40.2	  -2.1528	 4.1613
24	 3874	 101	45.1	  -2.1578	 4.7344
25	 4284	  90	40.0	  -2.1451	 4.1130
26	 4811	  83	41.2	  -2.2909	 4.6086
27	 5293	  85	33.8	  -2.2518	 3.6853
28	 5665	  60	35.0	  -2.1695	 3.4528
29	 5999	  56	31.5	  -2.2189	 3.4283
30	    0	   0	 0.0	   0.0000	 0.0000
31	 7491	  37	42.7	  -2.3394	 4.0127
32	 7356	  85	39.1	  -2.2309	 3.6860
33	 8361	  51	38.7	  -2.1660	 3.8466
34	 7962	  42	37.5	  -2.2967	 4.3853
35	 6639	  13	43.1	  -2.3605	 4.4930
36	 8847	  26	28.3	  -2.3547	 3.2761
37	 8857	  53	27.0	  -2.3723	 3.7762
38	    0	   0	 0.0	   0.0000	 0.0000
