order	maxcpp	nlines	contrast	RV	sig
-----	------	------	--------	--	---
 0	  164	 198	27.9	  -2.5378	 3.3220
 1	  223	 197	28.9	  -2.3346	 3.1416
 2	  434	 217	41.5	  -2.2197	 3.4058
 3	  500	 204	42.6	  -2.0999	 3.2211
 4	  632	 210	46.5	  -2.1107	 3.2919
 5	  706	 213	41.8	  -2.1078	 3.2163
 6	  803	 197	42.6	  -2.2037	 3.7193
 7	  876	 181	41.6	  -2.2696	 3.7584
 8	  978	 176	40.2	  -2.1254	 3.2924
 9	 1197	 145	39.9	  -2.1273	 3.1110
10	 1442	 188	42.1	  -2.2927	 3.3726
11	 1802	 184	46.7	  -2.2154	 3.3751
12	 2093	 162	45.2	  -2.0657	 3.6212
13	 2272	 134	47.0	  -2.2000	 3.7394
14	 2458	 129	43.3	  -2.1091	 3.4254
15	 2497	 130	43.0	  -2.2203	 3.4482
16	 2900	 125	41.5	  -2.2114	 3.0805
17	 2922	 138	39.6	  -2.2570	 3.3219
18	 3152	 106	46.1	  -2.2678	 3.6238
19	 3661	 127	45.7	  -2.1962	 3.6998
20	 3593	 126	44.6	  -2.3791	 3.5788
21	 4035	 123	41.5	  -2.3581	 3.7987
22	 4113	 121	44.6	  -2.1955	 4.0567
23	 4506	 120	40.9	  -2.2202	 4.1344
24	 4918	 101	45.5	  -2.2149	 4.7564
25	 5351	  90	40.5	  -2.2170	 4.1015
26	 5925	  83	41.6	  -2.3500	 4.5999
27	 6467	  85	34.2	  -2.2874	 3.7105
28	 6803	  60	35.6	  -2.2374	 3.4554
29	 7163	  56	31.9	  -2.2993	 3.4020
30	    0	   0	 0.0	   0.0000	 0.0000
31	 8717	  37	43.2	  -2.3872	 3.9979
32	 8467	  85	39.5	  -2.2920	 3.6668
33	 9576	  51	39.3	  -2.1973	 3.8436
34	 9009	  42	37.9	  -2.3122	 4.3328
35	 7494	  13	43.7	  -2.3849	 4.4422
36	 9802	  26	29.0	  -2.4367	 3.2256
37	 9801	  53	27.5	  -2.3933	 3.7264
38	    0	   0	 0.0	   0.0000	 0.0000
