evento,mean_x,mean_y,z,sigma,escale
0,-0.17915484366741152,-0.23317573377623302,558.2539313753567,0.8983011308314512,376.0184276818667
1,0.2654215595318049,0.3827851981456234,288.2389855861405,0.5739626140766131,232.25258419005246
2,-0.2837196075049808,0.2977288211538308,144.90281396539942,0.38833617768188666,288.0291115624836
3,0.3969962790290523,0.13067365266314457,554.8558356281261,0.8939134112187048,292.1077724425839
4,-0.028505636866898665,0.32521115268122225,151.13430176695084,0.39734726272457255,360.34379765089227
5,-0.027898405920525837,0.48992926415779803,410.67141550074905,0.7181867783990561,490.8539892514044
6,-0.006378344171018346,-0.4652724668308078,24.677123325387996,0.15486619423835385,136.65514135842932
7,-0.09959844666442774,-0.059146282199756706,640.506890779184,1.0106859101737597,436.29739841709676
8,-0.008507596061988476,-0.48643204546724617,508.837484905305,0.8359252344067232,349.90201463854567
9,-0.3710971265314186,0.3711371429493048,189.12588200303222,0.4497556879859986,346.70692738667935
10,0.3930561162475944,0.06382543544974217,240.69291583533598,0.5159657964485457,520.3567718216683
11,0.14511837378865222,-0.12250334115511652,512.2964247287016,0.840201711369232,65.87001111926773
12,0.0022150671754302964,0.09146985515205419,103.34350875216478,0.3239497749478401,121.26070839712551
13,-0.21425099144727222,0.22075095514457888,91.9152088063435,0.3045098037649094,293.1850873277712
14,0.35669990050389266,-0.41920557583566675,121.00166634345793,0.35234712167310117,306.6307781195956
15,0.4468365792527519,0.4158195934126734,648.2056351314919,1.021964601980833,45.154252363281614
16,0.48832405232483955,-0.4564382225760637,168.62066089217126,0.421960350942252,163.31339730350808
17,-0.42291721586588693,-0.20545201324675655,441.58591140756505,0.7546897528482022,229.47148930053413
18,-0.10707155332611384,0.3244104474184454,54.79522492834349,0.23267277013627646,209.9930891722408
19,0.44676898504122886,-0.4099629714945169,165.70815797653518,0.4179242294880421,322.7981873455651
